position_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,exit_reason
POS-e8e19c61609a,NSEI,BUY,1,23167.69921875,22935.44921875,2026-07-11T00:48:56.870943,2026-07-11T00:48:56.872360,-232.25,STOP_LOSS
POS-121960318f56,NSEI,BUY,1,22938.25,22574.69921875,2026-07-11T00:48:56.872510,2026-07-11T00:48:56.873232,-363.55078125,STOP_LOSS
POS-9428d4944e2d,NSEI,BUY,1,22520.30078125,22291.19921875,2026-07-11T00:48:56.873384,2026-07-11T00:48:56.874357,-229.1015625,STOP_LOSS
POS-04f6d1a31f34,NSEI,BUY,1,22305.099609375,22878.900390625,2026-07-11T00:48:56.874503,2026-07-11T00:48:56.874710,573.80078125,TARGET
POS-bb48541a0c10,NSEI,BUY,1,22842.94921875,22383.400390625,2026-07-11T00:48:56.874861,2026-07-11T00:48:56.875954,-459.548828125,STOP_LOSS
POS-6f189773f415,NSEI,BUY,1,22241.599609375,22687.150390625,2026-07-11T00:48:56.876110,2026-07-11T00:48:56.877121,445.55078125,TARGET
POS-4526140bad78,NSEI,BUY,1,22701.650390625,23855.150390625,2026-07-11T00:48:56.877254,2026-07-11T00:48:56.879383,1153.5,TARGET
POS-bc5f6dc29b8e,NSEI,BUY,1,23844.69921875,23584.30078125,2026-07-11T00:48:56.879528,2026-07-11T00:48:56.882506,-260.3984375,STOP_LOSS
POS-ae0593a1870b,NSEI,BUY,1,23579.94921875,24166.099609375,2026-07-11T00:48:56.882646,2026-07-11T00:48:56.883723,586.150390625,TARGET
POS-7269e2e00347,NSEI,BUY,1,24225.5,23968.30078125,2026-07-11T00:48:56.883868,2026-07-11T00:48:56.889915,-257.19921875,STOP_LOSS
POS-33aba27cc8d3,NSEI,BUY,1,23973.650390625,24459.400390625,2026-07-11T00:48:56.890063,2026-07-11T00:48:56.898254,485.75,TARGET
POS-16ae78f93a29,NSEI,BUY,1,24455.400390625,24198.30078125,2026-07-11T00:48:56.898406,2026-07-11T00:48:56.898978,-257.099609375,STOP_LOSS
POS-2f9b0ad416da,NSEI,BUY,1,24218.400390625,23943.19921875,2026-07-11T00:48:56.899129,2026-07-11T00:48:56.900164,-275.201171875,STOP_LOSS
POS-296885d6265f,NSEI,BUY,1,23917.69921875,23657.5,2026-07-11T00:48:56.900325,2026-07-11T00:48:56.901504,-260.19921875,STOP_LOSS
POS-9f3cb969ee52,NSEI,BUY,1,23634.650390625,23396.849609375,2026-07-11T00:48:56.901667,2026-07-11T00:48:56.902578,-237.80078125,STOP_LOSS
POS-167f8df0b637,NSEI,BUY,1,23393.25,23928.25,2026-07-11T00:48:56.902725,2026-07-11T00:48:56.910651,535.0,TARGET
POS-c952b4d61cb9,NSEI,BUY,1,23963.94921875,23685.400390625,2026-07-11T00:48:56.910808,2026-07-11T00:48:56.914666,-278.548828125,STOP_LOSS
POS-40309f8f97c0,NSEI,BUY,1,23522.25,23229.150390625,2026-07-11T00:48:56.914815,2026-07-11T00:48:56.915959,-293.099609375,STOP_LOSS
POS-c6f08b5b27d1,NSEI,BUY,1,23269.349609375,23984.849609375,2026-07-11T00:48:56.916113,2026-07-11T00:48:56.924736,715.5,TARGET
POS-e5188fe53b4b,NSEI,BUY,1,23962.150390625,24443.25,2026-07-11T00:48:56.924892,2026-07-11T00:48:56.938935,481.099609375,TARGET
POS-e756e3bbc2ee,NSEI,BUY,1,24445.400390625,24427.400390625,2026-07-11T00:48:56.939126,2026-07-11T00:48:56.939876,-18.0,END_OF_DAY
