entry_time,exit_time,entry_index,exit_index,probability,reason,gross,net,equity,cum_max,drawdown
2025-11-27 10:37:00,2025-11-27 10:38:00,26277.19921875,26282.19921875,0.6157498412905131,SL,-562.5,-647.5,-647.5,-647.5,0.0
2025-11-27 11:17:00,2025-11-27 11:21:00,26288.25,26278.25,0.6110366227939675,TP,1125.0,1040.0,392.5,392.5,0.0
2025-11-27 11:24:00,2025-11-27 11:28:00,26282.94921875,26282.80078125,0.6583414451113988,TIME,16.69921875,-68.30078125,324.19921875,392.5,68.30078125
2025-11-27 11:28:00,2025-11-27 11:30:00,26282.80078125,26272.80078125,0.642244395663323,TP,1125.0,1040.0,1364.19921875,1364.19921875,0.0
2025-11-27 11:31:00,2025-11-27 11:35:00,26274.0,26271.599609375,0.641990886746544,TIME,270.0439453125,185.0439453125,1549.2431640625,1549.2431640625,0.0
2025-11-27 11:43:00,2025-11-27 11:46:00,26271.30078125,26261.30078125,0.6421201262090785,TP,1125.0,1040.0,2589.2431640625,2589.2431640625,0.0
2025-11-28 12:05:00,2025-11-28 12:09:00,26244.94921875,26234.94921875,0.6319873966686405,TP,1125.0,1040.0,3629.2431640625,3629.2431640625,0.0
2025-11-28 12:12:00,2025-11-28 12:16:00,26239.400390625,26232.75,0.6272757641173983,TIME,748.1689453125,663.1689453125,4292.412109375,4292.412109375,0.0
2025-12-01 12:03:00,2025-12-01 12:05:00,26202.150390625,26192.150390625,0.6244386210633558,TP,1125.0,1040.0,5332.412109375,5332.412109375,0.0
2025-12-02 11:15:00,2025-12-02 11:19:00,26081.099609375,26081.19921875,0.64832807055077,TIME,-11.2060546875,-96.2060546875,5236.2060546875,5332.412109375,96.2060546875
2025-12-03 10:44:00,2025-12-03 10:45:00,25905.80078125,25910.80078125,0.6066798129136834,SL,-562.5,-647.5,4588.7060546875,5332.412109375,743.7060546875
2025-12-03 10:48:00,2025-12-03 10:51:00,25911.69921875,25916.69921875,0.6132022403863635,SL,-562.5,-647.5,3941.2060546875,5332.412109375,1391.2060546875
2025-12-03 11:04:00,2025-12-03 11:05:00,25919.099609375,25909.099609375,0.6469120764651862,TP,1125.0,1040.0,4981.2060546875,5332.412109375,351.2060546875
2025-12-03 11:07:00,2025-12-03 11:08:00,25913.19921875,25918.19921875,0.6481707111579047,SL,-562.5,-647.5,4333.7060546875,5332.412109375,998.7060546875
2025-12-03 11:09:00,2025-12-03 11:11:00,25914.30078125,25919.30078125,0.6056506633033802,SL,-562.5,-647.5,3686.2060546875,5332.412109375,1646.2060546875
2025-12-03 11:20:00,2025-12-03 11:22:00,25910.150390625,25900.150390625,0.6135205509395043,TP,1125.0,1040.0,4726.2060546875,5332.412109375,606.2060546875
2025-12-03 11:29:00,2025-12-03 11:30:00,25910.05078125,25915.05078125,0.6351715750386616,SL,-562.5,-647.5,4078.7060546875,5332.412109375,1253.7060546875
2025-12-03 11:31:00,2025-12-03 11:33:00,25910.05078125,25915.05078125,0.5844522684043375,SL,-562.5,-647.5,3431.2060546875,5332.412109375,1901.2060546875
2025-12-04 11:01:00,2025-12-04 11:03:00,26080.30078125,26085.30078125,0.6258875175571388,SL,-562.5,-647.5,2783.7060546875,5332.412109375,2548.7060546875
2025-12-04 11:07:00,2025-12-04 11:11:00,26080.80078125,26073.150390625,0.6204486244270937,TIME,860.6689453125,775.6689453125,3559.375,5332.412109375,1773.037109375
2025-12-04 11:14:00,2025-12-04 11:18:00,26077.05078125,26067.05078125,0.5925316639012099,TP,1125.0,1040.0,4599.375,5332.412109375,733.037109375
2025-12-04 11:31:00,2025-12-04 11:35:00,26060.650390625,26060.75,0.6165053895770531,TIME,-11.2060546875,-96.2060546875,4503.1689453125,5332.412109375,829.2431640625
2025-12-04 12:28:00,2025-12-04 12:32:00,26029.05078125,26024.599609375,0.6013373689762356,TIME,500.7568359375,415.7568359375,4918.92578125,5332.412109375,413.486328125
2025-12-08 10:48:00,2025-12-08 10:52:00,26087.30078125,26082.900390625,0.664396874389704,TIME,495.0439453125,410.0439453125,5328.9697265625,5332.412109375,3.4423828125
2025-12-08 10:52:00,2025-12-08 10:53:00,26082.900390625,26087.900390625,0.6279614811480715,SL,-562.5,-647.5,4681.4697265625,5332.412109375,650.9423828125
2025-12-08 10:54:00,2025-12-08 10:58:00,26094.349609375,26084.349609375,0.5982598002606794,TP,1125.0,1040.0,5721.4697265625,5721.4697265625,0.0
2025-12-08 11:28:00,2025-12-08 11:32:00,26070.599609375,26064.0,0.6471034636025563,TIME,742.4560546875,657.4560546875,6378.92578125,6378.92578125,0.0
2025-12-08 11:57:00,2025-12-08 12:01:00,26056.55078125,26046.900390625,0.6198605000246757,TIME,1085.6689453125,1000.6689453125,7379.5947265625,7379.5947265625,0.0
2025-12-08 12:11:00,2025-12-08 12:14:00,26051.94921875,26041.94921875,0.623139914787374,TP,1125.0,1040.0,8419.5947265625,8419.5947265625,0.0
2025-12-09 10:55:00,2025-12-09 10:56:00,25797.05078125,25802.05078125,0.6185191750931878,SL,-562.5,-647.5,7772.0947265625,8419.5947265625,647.5
2025-12-15 11:11:00,2025-12-15 11:15:00,25982.30078125,25978.650390625,0.6493032415478794,TIME,410.6689453125,325.6689453125,8097.763671875,8419.5947265625,321.8310546875
2025-12-15 11:18:00,2025-12-15 11:21:00,25980.94921875,25970.94921875,0.46650004670511114,TP,1125.0,1040.0,9137.763671875,9137.763671875,0.0
2025-12-16 11:16:00,2025-12-16 11:19:00,25895.900390625,25900.900390625,0.620271466616914,SL,-562.5,-647.5,8490.263671875,9137.763671875,647.5
2025-12-16 11:20:00,2025-12-16 11:23:00,25902.099609375,25907.099609375,0.6276474155882109,SL,-562.5,-647.5,7842.763671875,9137.763671875,1295.0
2025-12-16 11:24:00,2025-12-16 11:27:00,25898.400390625,25903.400390625,0.6322599426278012,SL,-562.5,-647.5,7195.263671875,9137.763671875,1942.5
2025-12-16 11:32:00,2025-12-16 11:34:00,25898.30078125,25888.30078125,0.648399474928394,TP,1125.0,1040.0,8235.263671875,9137.763671875,902.5
2025-12-16 11:36:00,2025-12-16 11:40:00,25883.0,25882.19921875,0.6574432578073691,TIME,90.087890625,5.087890625,8240.3515625,9137.763671875,897.412109375
2025-12-16 11:40:00,2025-12-16 11:44:00,25882.19921875,25875.099609375,0.6457279702202746,TIME,798.7060546875,713.7060546875,8954.0576171875,9137.763671875,183.7060546875
2025-12-17 10:44:00,2025-12-17 10:47:00,25819.05078125,25824.05078125,0.6129123698608988,SL,-562.5,-647.5,8306.5576171875,9137.763671875,831.2060546875
2025-12-26 10:31:00,2025-12-26 10:35:00,26095.75,26090.650390625,0.6442815103564893,TIME,573.7060546875,488.7060546875,8795.263671875,9137.763671875,342.5
2025-12-26 10:37:00,2025-12-26 10:41:00,26090.099609375,26092.599609375,0.6441988843615313,TIME,-281.25,-366.25,8429.013671875,9137.763671875,708.75
2025-12-26 10:43:00,2025-12-26 10:47:00,26091.599609375,26089.05078125,0.6452645388179643,TIME,286.7431640625,201.7431640625,8630.7568359375,9137.763671875,507.0068359375
2025-12-26 10:48:00,2025-12-26 10:52:00,26090.900390625,26090.849609375,0.6603094532873182,TIME,5.712890625,-79.287109375,8551.4697265625,9137.763671875,586.2939453125
2025-12-26 10:52:00,2025-12-26 10:56:00,26090.849609375,26084.400390625,0.6776862280527264,TIME,725.537109375,640.537109375,9192.0068359375,9192.0068359375,0.0
2025-12-26 10:56:00,2025-12-26 10:58:00,26084.400390625,26089.400390625,0.6560704466095241,SL,-562.5,-647.5,8544.5068359375,9192.0068359375,647.5
2025-12-26 10:58:00,2025-12-26 11:02:00,26092.19921875,26089.30078125,0.6551800821491497,TIME,326.07421875,241.07421875,8785.5810546875,9192.0068359375,406.42578125
2025-12-26 11:02:00,2025-12-26 11:06:00,26089.30078125,26085.19921875,0.6680010063209137,TIME,461.42578125,376.42578125,9162.0068359375,9192.0068359375,30.0
2025-12-26 11:06:00,2025-12-26 11:10:00,26085.19921875,26078.25,0.6795930501745034,TIME,781.787109375,696.787109375,9858.7939453125,9858.7939453125,0.0
2025-12-26 11:10:00,2025-12-26 11:13:00,26078.25,26068.25,0.6208992250618103,TP,1125.0,1040.0,10898.7939453125,10898.7939453125,0.0
2025-12-26 11:14:00,2025-12-26 11:18:00,26072.80078125,26066.44921875,0.6555779648653156,TIME,714.55078125,629.55078125,11528.3447265625,11528.3447265625,0.0
2025-12-26 11:18:00,2025-12-26 11:22:00,26066.44921875,26064.349609375,0.6258319538679825,TIME,236.2060546875,151.2060546875,11679.55078125,11679.55078125,0.0
2025-12-26 11:23:00,2025-12-26 11:24:00,26059.900390625,26064.900390625,0.6514191853242025,SL,-562.5,-647.5,11032.05078125,11679.55078125,647.5
2025-12-26 11:24:00,2025-12-26 11:26:00,26063.19921875,26068.19921875,0.6573392229812461,SL,-562.5,-647.5,10384.55078125,11679.55078125,1295.0
2025-12-26 11:26:00,2025-12-26 11:30:00,26068.55078125,26062.55078125,0.6673343685401913,TIME,675.0,590.0,10974.55078125,11679.55078125,705.0
2025-12-26 11:30:00,2025-12-26 11:34:00,26062.55078125,26057.900390625,0.646787230720507,TIME,523.1689453125,438.1689453125,11412.7197265625,11679.55078125,266.8310546875
2025-12-26 11:53:00,2025-12-26 11:56:00,26053.55078125,26058.55078125,0.628121321905038,SL,-562.5,-647.5,10765.2197265625,11679.55078125,914.3310546875
2025-12-26 12:28:00,2025-12-26 12:32:00,26057.75,26047.75,0.6159149524198071,TP,1125.0,1040.0,11805.2197265625,11805.2197265625,0.0
2025-12-29 10:31:00,2025-12-29 10:35:00,26022.5,26020.05078125,0.6701040068848627,TIME,275.537109375,190.537109375,11995.7568359375,11995.7568359375,0.0
2025-12-29 10:35:00,2025-12-29 10:39:00,26020.05078125,26018.349609375,0.6643044567239369,TIME,191.3818359375,106.3818359375,12102.138671875,12102.138671875,0.0
2025-12-29 10:39:00,2025-12-29 10:42:00,26018.349609375,26008.349609375,0.6057241222944301,TP,1125.0,1040.0,13142.138671875,13142.138671875,0.0
2025-12-29 10:53:00,2025-12-29 10:57:00,26008.400390625,26007.25,0.6731429992873729,TIME,129.4189453125,44.4189453125,13186.5576171875,13186.5576171875,0.0
2025-12-29 10:57:00,2025-12-29 11:01:00,26007.25,26004.94921875,0.6569722902205513,TIME,258.837890625,173.837890625,13360.3955078125,13360.3955078125,0.0
2025-12-29 11:01:00,2025-12-29 11:03:00,26004.94921875,25994.94921875,0.656040275314259,TP,1125.0,1040.0,14400.3955078125,14400.3955078125,0.0
2025-12-29 11:03:00,2025-12-29 11:07:00,25992.150390625,25982.150390625,0.5411501810357366,TP,1125.0,1040.0,15440.3955078125,15440.3955078125,0.0
2025-12-29 12:16:00,2025-12-29 12:20:00,25979.150390625,25974.650390625,0.651465334512274,TIME,506.25,421.25,15861.6455078125,15861.6455078125,0.0
2025-12-29 12:20:00,2025-12-29 12:23:00,25974.650390625,25964.650390625,0.565244851547181,TP,1125.0,1040.0,16901.6455078125,16901.6455078125,0.0
2025-12-29 12:32:00,2025-12-29 12:35:00,25968.19921875,25958.19921875,0.6240832132251694,TP,1125.0,1040.0,17941.6455078125,17941.6455078125,0.0
2025-12-30 10:49:00,2025-12-30 10:52:00,25944.400390625,25934.400390625,0.6666652447685963,TP,1125.0,1040.0,18981.6455078125,18981.6455078125,0.0
2025-12-30 10:52:00,2025-12-30 10:55:00,25936.0,25926.0,0.6460589072503647,TP,1125.0,1040.0,20021.6455078125,20021.6455078125,0.0
2025-12-30 10:56:00,2025-12-30 11:00:00,25930.349609375,25931.0,0.6751280525118976,TIME,-73.1689453125,-158.1689453125,19863.4765625,20021.6455078125,158.1689453125
2025-12-30 11:00:00,2025-12-30 11:04:00,25931.0,25926.25,0.6356838752471451,TIME,534.375,449.375,20312.8515625,20312.8515625,0.0
2025-12-30 11:05:00,2025-12-30 11:09:00,25930.80078125,25928.80078125,0.6750359400397682,TIME,225.0,140.0,20452.8515625,20452.8515625,0.0
2025-12-30 11:09:00,2025-12-30 11:11:00,25928.80078125,25918.80078125,0.64994465807607,TP,1125.0,1040.0,21492.8515625,21492.8515625,0.0
2025-12-30 11:12:00,2025-12-30 11:16:00,25923.349609375,25923.80078125,0.6395891180773371,TIME,-50.7568359375,-135.7568359375,21357.0947265625,21492.8515625,135.7568359375
2025-12-30 11:17:00,2025-12-30 11:20:00,25922.94921875,25927.94921875,0.6431545279232723,SL,-562.5,-647.5,20709.5947265625,21492.8515625,783.2568359375
