entry_time,exit_time,entry_index,exit_index,reason,gross,net,equity,cum_max,drawdown
2025-11-25 10:37:00,2025-11-25 10:38:00,25996.55078125,26005.55078125,SL,-1012.5,-1097.5,-1097.5,-1097.5,0.0
2025-11-25 10:48:00,2025-11-25 10:53:00,25983.25,25986.69921875,TIME,-388.037109375,-473.037109375,-1570.537109375,-1097.5,473.037109375
2025-11-25 10:53:00,2025-11-25 10:55:00,25986.69921875,25968.69921875,TP,2025.0,1940.0,369.462890625,369.462890625,0.0
2025-11-25 11:24:00,2025-11-25 11:25:00,25950.25,25959.25,SL,-1012.5,-1097.5,-728.037109375,369.462890625,1097.5
2025-11-25 11:46:00,2025-11-25 11:48:00,25953.19921875,25962.19921875,SL,-1012.5,-1097.5,-1825.537109375,369.462890625,2195.0
2025-11-25 11:48:00,2025-11-25 11:50:00,25961.400390625,25970.400390625,SL,-1012.5,-1097.5,-2923.037109375,369.462890625,3292.5
2025-11-26 10:31:00,2025-11-26 10:32:00,26067.849609375,26076.849609375,SL,-1012.5,-1097.5,-4020.537109375,369.462890625,4390.0
2025-11-26 10:35:00,2025-11-26 10:39:00,26077.25,26086.25,SL,-1012.5,-1097.5,-5118.037109375,369.462890625,5487.5
2025-11-26 11:05:00,2025-11-26 11:08:00,26117.55078125,26126.55078125,SL,-1012.5,-1097.5,-6215.537109375,369.462890625,6585.0
2025-11-26 11:09:00,2025-11-26 11:14:00,26117.400390625,26116.5,TIME,101.2939453125,16.2939453125,-6199.2431640625,369.462890625,6568.7060546875
2025-11-26 11:43:00,2025-11-26 11:48:00,26125.69921875,26128.25,TIME,-286.962890625,-371.962890625,-6571.2060546875,369.462890625,6940.6689453125
2025-11-26 11:48:00,2025-11-26 11:53:00,26128.25,26130.94921875,TIME,-303.662109375,-388.662109375,-6959.8681640625,369.462890625,7329.3310546875
2025-11-27 10:27:00,2025-11-27 10:29:00,26266.900390625,26275.900390625,SL,-1012.5,-1097.5,-8057.3681640625,369.462890625,8426.8310546875
2025-11-27 10:29:00,2025-11-27 10:34:00,26279.25,26277.25,TIME,225.0,140.0,-7917.3681640625,369.462890625,8286.8310546875
2025-11-27 10:34:00,2025-11-27 10:39:00,26277.25,26286.25,SL,-1012.5,-1097.5,-9014.8681640625,369.462890625,9384.3310546875
2025-11-27 10:39:00,2025-11-27 10:44:00,26285.900390625,26284.55078125,TIME,151.8310546875,66.8310546875,-8948.037109375,369.462890625,9317.5
2025-11-27 10:44:00,2025-11-27 10:46:00,26284.55078125,26293.55078125,SL,-1012.5,-1097.5,-10045.537109375,369.462890625,10415.0
2025-11-27 10:53:00,2025-11-27 10:58:00,26299.44921875,26286.44921875,TIME_PROFIT,1462.5,1377.5,-8668.037109375,369.462890625,9037.5
2025-11-27 10:59:00,2025-11-27 11:02:00,26291.75,26300.75,SL,-1012.5,-1097.5,-9765.537109375,369.462890625,10135.0
2025-11-27 11:02:00,2025-11-27 11:06:00,26290.75,26299.75,SL,-1012.5,-1097.5,-10863.037109375,369.462890625,11232.5
2025-11-27 11:06:00,2025-11-27 11:11:00,26297.75,26296.400390625,TIME,151.8310546875,66.8310546875,-10796.2060546875,369.462890625,11165.6689453125
2025-11-27 11:11:00,2025-11-27 11:16:00,26296.400390625,26295.150390625,TIME,140.625,55.625,-10740.5810546875,369.462890625,11110.0439453125
2025-11-27 11:17:00,2025-11-27 11:22:00,26288.25,26277.69921875,TIME,1186.962890625,1101.962890625,-9638.6181640625,369.462890625,10008.0810546875
2025-11-27 11:22:00,2025-11-27 11:27:00,26277.69921875,26280.94921875,TIME,-365.625,-450.625,-10089.2431640625,369.462890625,10458.7060546875
2025-11-27 11:27:00,2025-11-27 11:32:00,26280.94921875,26269.900390625,TIME,1242.9931640625,1157.9931640625,-8931.25,369.462890625,9300.712890625
2025-11-27 11:32:00,2025-11-27 11:37:00,26269.900390625,26265.5,TIME,495.0439453125,410.0439453125,-8521.2060546875,369.462890625,8890.6689453125
2025-11-27 11:38:00,2025-11-27 11:40:00,26264.75,26273.75,SL,-1012.5,-1097.5,-9618.7060546875,369.462890625,9988.1689453125
2025-11-27 11:41:00,2025-11-27 11:46:00,26271.599609375,26260.0,TIME,1304.9560546875,1219.9560546875,-8398.75,369.462890625,8768.212890625
2025-11-28 10:28:00,2025-11-28 10:31:00,26234.400390625,26243.400390625,SL,-1012.5,-1097.5,-9496.25,369.462890625,9865.712890625
2025-11-28 10:31:00,2025-11-28 10:33:00,26246.599609375,26255.599609375,SL,-1012.5,-1097.5,-10593.75,369.462890625,10963.212890625
2025-11-28 10:51:00,2025-11-28 10:56:00,26265.94921875,26267.849609375,TIME,-213.7939453125,-298.7939453125,-10892.5439453125,369.462890625,11262.0068359375
2025-11-28 10:56:00,2025-11-28 11:01:00,26267.849609375,26254.849609375,TIME_PROFIT,1462.5,1377.5,-9515.0439453125,369.462890625,9884.5068359375
2025-11-28 11:01:00,2025-11-28 11:06:00,26264.849609375,26251.849609375,TIME_PROFIT,1462.5,1377.5,-8137.5439453125,369.462890625,8507.0068359375
2025-11-28 11:06:00,2025-11-28 11:11:00,26259.94921875,26246.94921875,TIME_PROFIT,1462.5,1377.5,-6760.0439453125,369.462890625,7129.5068359375
2025-11-28 11:11:00,2025-11-28 11:15:00,26259.150390625,26268.150390625,SL,-1012.5,-1097.5,-7857.5439453125,369.462890625,8227.0068359375
2025-11-28 11:15:00,2025-11-28 11:20:00,26267.150390625,26262.349609375,TIME,540.087890625,455.087890625,-7402.4560546875,369.462890625,7771.9189453125
2025-11-28 11:20:00,2025-11-28 11:23:00,26262.349609375,26244.349609375,TP,2025.0,1940.0,-5462.4560546875,369.462890625,5831.9189453125
2025-11-28 11:23:00,2025-11-28 11:28:00,26243.650390625,26243.400390625,TIME,28.125,-56.875,-5519.3310546875,369.462890625,5888.7939453125
2025-11-28 11:33:00,2025-11-28 11:38:00,26245.900390625,26232.900390625,TIME_PROFIT,1462.5,1377.5,-4141.8310546875,369.462890625,4511.2939453125
2025-11-28 11:38:00,2025-11-28 11:43:00,26243.19921875,26248.849609375,TIME,-635.6689453125,-720.6689453125,-4862.5,369.462890625,5231.962890625
2025-11-28 11:47:00,2025-11-28 11:52:00,26253.25,26250.5,TIME,309.375,224.375,-4638.125,369.462890625,5007.587890625
2025-11-28 11:52:00,2025-11-28 11:57:00,26250.5,26251.5,TIME,-112.5,-197.5,-4835.625,369.462890625,5205.087890625
2025-11-28 11:58:00,2025-11-28 12:03:00,26250.44921875,26246.849609375,TIME,404.9560546875,319.9560546875,-4515.6689453125,369.462890625,4885.1318359375
2025-11-28 12:03:00,2025-11-28 12:08:00,26246.849609375,26240.80078125,TIME,680.4931640625,595.4931640625,-3920.17578125,369.462890625,4289.638671875
2025-11-28 12:08:00,2025-11-28 12:13:00,26240.80078125,26241.650390625,TIME,-95.5810546875,-180.5810546875,-4100.7568359375,369.462890625,4470.2197265625
2025-11-28 12:13:00,2025-11-28 12:18:00,26241.650390625,26228.650390625,TIME_PROFIT,1462.5,1377.5,-2723.2568359375,369.462890625,3092.7197265625
2025-11-28 12:18:00,2025-11-28 12:23:00,26231.44921875,26226.19921875,TIME,590.625,505.625,-2217.6318359375,369.462890625,2587.0947265625
2025-11-28 12:23:00,2025-11-28 12:28:00,26226.19921875,26223.19921875,TIME,337.5,252.5,-1965.1318359375,369.462890625,2334.5947265625
2025-11-28 12:28:00,2025-11-28 12:33:00,26223.19921875,26232.19921875,SL,-1012.5,-1097.5,-3062.6318359375,369.462890625,3432.0947265625
2025-11-28 12:33:00,2025-11-28 12:38:00,26236.80078125,26236.30078125,TIME,56.25,-28.75,-3091.3818359375,369.462890625,3460.8447265625
2025-12-01 10:32:00,2025-12-01 10:37:00,26285.0,26272.0,TIME_PROFIT,1462.5,1377.5,-1713.8818359375,369.462890625,2083.3447265625
2025-12-01 10:37:00,2025-12-01 10:40:00,26276.19921875,26258.19921875,TP,2025.0,1940.0,226.1181640625,369.462890625,143.3447265625
2025-12-01 11:06:00,2025-12-01 11:11:00,26229.55078125,26234.400390625,TIME,-545.5810546875,-630.5810546875,-404.462890625,369.462890625,773.92578125
2025-12-01 11:11:00,2025-12-01 11:14:00,26234.400390625,26243.400390625,SL,-1012.5,-1097.5,-1501.962890625,369.462890625,1871.42578125
2025-12-01 11:14:00,2025-12-01 11:19:00,26242.400390625,26238.05078125,TIME,489.3310546875,404.3310546875,-1097.6318359375,369.462890625,1467.0947265625
2025-12-01 11:58:00,2025-12-01 12:03:00,26215.19921875,26202.19921875,TIME_PROFIT,1462.5,1377.5,279.8681640625,369.462890625,89.5947265625
2025-12-01 12:03:00,2025-12-01 12:06:00,26202.150390625,26184.150390625,TP,2025.0,1940.0,2219.8681640625,2219.8681640625,0.0
2025-12-01 12:29:00,2025-12-01 12:31:00,26188.55078125,26170.55078125,TP,2025.0,1940.0,4159.8681640625,4159.8681640625,0.0
2025-12-02 10:27:00,2025-12-02 10:29:00,26069.599609375,26078.599609375,SL,-1012.5,-1097.5,3062.3681640625,4159.8681640625,1097.5
2025-12-02 10:43:00,2025-12-02 10:48:00,26081.55078125,26074.349609375,TIME,810.1318359375,725.1318359375,3787.5,4159.8681640625,372.3681640625
2025-12-02 10:48:00,2025-12-02 10:50:00,26074.349609375,26083.349609375,SL,-1012.5,-1097.5,2690.0,4159.8681640625,1469.8681640625
2025-12-02 10:56:00,2025-12-02 11:01:00,26092.30078125,26085.75,TIME,736.962890625,651.962890625,3341.962890625,4159.8681640625,817.9052734375
2025-12-02 11:15:00,2025-12-02 11:20:00,26081.099609375,26076.55078125,TIME,511.7431640625,426.7431640625,3768.7060546875,4159.8681640625,391.162109375
2025-12-02 11:20:00,2025-12-02 11:25:00,26076.55078125,26083.69921875,TIME,-804.19921875,-889.19921875,2879.5068359375,4159.8681640625,1280.361328125
2025-12-02 11:25:00,2025-12-02 11:30:00,26083.69921875,26070.69921875,TIME_PROFIT,1462.5,1377.5,4257.0068359375,4257.0068359375,0.0
2025-12-02 11:30:00,2025-12-02 11:35:00,26066.75,26066.80078125,TIME,-5.712890625,-90.712890625,4166.2939453125,4257.0068359375,90.712890625
2025-12-02 11:36:00,2025-12-02 11:41:00,26065.599609375,26063.94921875,TIME,185.6689453125,100.6689453125,4266.962890625,4266.962890625,0.0
2025-12-02 11:42:00,2025-12-02 11:47:00,26063.94921875,26060.94921875,TIME,337.5,252.5,4519.462890625,4519.462890625,0.0
2025-12-02 12:16:00,2025-12-02 12:17:00,26049.30078125,26058.30078125,SL,-1012.5,-1097.5,3421.962890625,4519.462890625,1097.5
2025-12-02 12:18:00,2025-12-02 12:23:00,26058.44921875,26058.05078125,TIME,44.82421875,-40.17578125,3381.787109375,4519.462890625,1137.67578125
2025-12-03 10:42:00,2025-12-03 10:45:00,25899.80078125,25908.80078125,SL,-1012.5,-1097.5,2284.287109375,4519.462890625,2235.17578125
2025-12-03 10:45:00,2025-12-03 10:50:00,25913.75,25909.30078125,TIME,500.537109375,415.537109375,2699.82421875,4519.462890625,1819.638671875
2025-12-03 10:50:00,2025-12-03 10:53:00,25909.30078125,25918.30078125,SL,-1012.5,-1097.5,1602.32421875,4519.462890625,2917.138671875
2025-12-03 10:53:00,2025-12-03 10:58:00,25921.650390625,25919.05078125,TIME,292.4560546875,207.4560546875,1809.7802734375,4519.462890625,2709.6826171875
2025-12-03 10:58:00,2025-12-03 11:03:00,25919.05078125,25921.900390625,TIME,-320.5810546875,-405.5810546875,1404.19921875,4519.462890625,3115.263671875
2025-12-03 11:03:00,2025-12-03 11:06:00,25921.900390625,25903.900390625,TP,2025.0,1940.0,3344.19921875,4519.462890625,1175.263671875
2025-12-03 11:06:00,2025-12-03 11:08:00,25909.69921875,25918.69921875,SL,-1012.5,-1097.5,2246.69921875,4519.462890625,2272.763671875
2025-12-03 11:08:00,2025-12-03 11:13:00,25918.30078125,25922.44921875,TIME,-466.69921875,-551.69921875,1695.0,4519.462890625,2824.462890625
2025-12-03 11:14:00,2025-12-03 11:19:00,25920.400390625,25913.55078125,TIME,770.5810546875,685.5810546875,2380.5810546875,4519.462890625,2138.8818359375
2025-12-03 11:19:00,2025-12-03 11:24:00,25913.55078125,25895.55078125,TP,2025.0,1940.0,4320.5810546875,4519.462890625,198.8818359375
2025-12-03 11:24:00,2025-12-03 11:27:00,25894.849609375,25903.849609375,SL,-1012.5,-1097.5,3223.0810546875,4519.462890625,1296.3818359375
2025-12-03 11:27:00,2025-12-03 11:30:00,25904.150390625,25913.150390625,SL,-1012.5,-1097.5,2125.5810546875,4519.462890625,2393.8818359375
2025-12-03 11:30:00,2025-12-03 11:35:00,25912.150390625,25921.150390625,SL,-1012.5,-1097.5,1028.0810546875,4519.462890625,3491.3818359375
