datetime,close,high,low,open,volume,ret_1,ret_3,range,body_ratio,close_pos,range_exp_10,rv_10,high_30,low_30,range_pos_30,minutes_from_open,close_vix,high_vix,low_vix,open_vix,volume_vix,vix_ret_1,vix_ret_5,vix_mom_5,vix_range,vix_range_exp_10,y_call,y_put
2025-12-01 09:24:00+05:30,26292.349609375,26294.94921875,26283.5,26287.19921875,0,0.0002225080785369,9.130033034548236e-05,11.44921875,0.4498464687819857,0.7729443875810303,0.7663446328422209,0.0003067225719628,26319.900390625,26272.25,0.4218141574783784,9,11.220000267028809,11.2524995803833,11.154999732971191,11.154999732971191,0,0.0029008402929352,-0.0031145606327933,0.0335002899169918,0.0974998474121093,0.3526214658438057,0.0,0.0
2025-12-01 09:25:00+05:30,26290.400390625,26299.05078125,26289.900390625,26292.5,0,-7.413909507940297e-05,-0.0002414890085768,9.150390625,0.2294557097118463,0.0546424759871931,0.8250999454042725,0.0002926251650222,26319.900390625,26272.25,0.3809074886256507,10,11.282500267028809,11.3149995803833,11.210000038146973,11.220000267028809,0,0.0055549524926311,-0.0061851042432023,0.1100002288818355,0.1049995422363281,0.48780293293175,0.0,1.0
2025-12-01 09:26:00+05:30,26284.55078125,26290.650390625,26279.25,26289.5,0,-0.0002225245775318,-7.415559407419654e-05,11.400390625,0.4341271200959397,0.4649648792187767,1.104697376887846,0.0002378640562404,26319.900390625,26272.25,0.2581464934213223,11,11.335000038146973,11.36750030517578,11.282500267028809,11.282500267028809,0,0.0046424109383664,0.0195997605009049,0.1184999465942375,0.0850000381469708,0.5151521631951844,1.0,0.0
2025-12-01 09:27:00+05:30,26288.349609375,26292.400390625,26280.94921875,26283.400390625,0,0.0001445165894741,-0.0001521470831369,11.451171875,0.4322019443970663,0.6462561828415487,1.0916233778323932,0.0002430636768402,26319.900390625,26272.25,0.3378694101733819,12,11.357500076293944,11.3774995803833,11.337499618530272,11.337499618530272,0,0.0019830380440089,0.0267694049581906,0.0809999465942379,0.0399999618530291,0.253968196300843,0.0,0.0
2025-12-01 09:28:00+05:30,26288.0,26293.650390625,26287.150390625,26287.25,0,-1.3299111771814488e-05,-9.130709982934914e-05,6.5,0.1153846153846153,0.1307091346153846,0.6283276063890042,0.0002422022329001,26319.900390625,26272.25,0.3305324425134238,13,11.292499542236328,11.357500076293944,11.282500267028809,11.357500076293944,0,-0.0057395773592589,0.009341664408683,-0.0050004959106448,0.0749998092651349,0.5199296561481355,0.0,0.0
2025-12-01 09:29:00+05:30,26284.05078125,26291.69921875,26283.44921875,26287.44921875,0,-0.0001502402397753,-1.9022762072983604e-05,8.25,0.4119318181818182,0.0729166666666666,0.8056609891472277,0.00023659795213,26319.900390625,26272.25,0.2476534000081977,14,11.317500114440918,11.337499618530272,11.274999618530272,11.292499542236328,0,0.0022114624301745,0.0086522865459223,0.0005001068115237,0.0625,0.525210269232775,1.0,0.0
2025-12-01 09:30:00+05:30,26294.400390625,26296.349609375,26284.75,26284.75,0,0.0003936825554194,0.0002301432038722,11.599609375,0.8319582421283044,0.8319582421283044,1.114279817632601,0.0002600595016476,26319.900390625,26272.25,0.4648522359306472,15,11.317500114440918,11.327500343322754,11.28499984741211,11.317500114440918,0,0.0,0.0030973340532913,-0.006499862670898,0.0425004959106445,0.4404195771023351,0.0,0.0
2025-12-01 09:31:00+05:30,26287.150390625,26295.69921875,26287.150390625,26294.099609375,0,-0.0002757621233388,-3.231980769471893e-05,8.548828125,0.8128855380397533,0.0,0.8519044745907862,0.00025754052334,26319.900390625,26272.25,0.312702381440341,16,11.307499885559082,11.317500114440918,11.295000076293944,11.317500114440918,0,-0.0008839981907678,-0.0024290750758431,-0.0110000610351566,0.0225000381469744,0.3061231109779243,1.0,0.0
2025-12-01 09:32:00+05:30,26285.25,26291.25,26284.55078125,26289.25,0,-7.229613301683069e-05,4.5624299063799565e-05,6.69921875,0.5970845481049563,0.1043731778425656,0.6860548843907512,0.0002397386161206,26319.900390625,26272.25,0.2728204287412387,17,11.307499885559082,11.317500114440918,11.295000076293944,11.307499885559082,0,0.0,-0.0044121131198521,-0.0010000228881832,0.0225000381469744,0.3461546361803971,1.0,0.0
2025-12-01 09:33:00+05:30,26297.650390625,26297.849609375,26285.25,26285.25,0,0.0004716510790678,0.0001235928227121,12.599609375,0.9841884979073012,0.9841884979073012,1.2903032242579406,0.0002557959309539,26319.900390625,26272.25,0.5330573431159569,18,11.3149995803833,11.369999885559082,11.287500381469728,11.307499885559082,0,0.0006630297514431,0.0019904939908498,0.0019996643066413,0.0824995040893536,1.2992062717298791,0.0,0.0
2025-12-01 09:34:00+05:30,26300.150390625,26303.94921875,26296.849609375,26297.5,0,9.50610088160368e-05,0.000494415954867,7.099609375,0.3733149931224209,0.4649243466299862,0.7609537566204024,0.0002489079446087,26319.900390625,26272.25,0.5855228101815797,19,11.3149995803833,11.3149995803833,11.282500267028809,11.3149995803833,0,0.0,-0.0002209684393247,0.0024997711181633,0.0324993133544921,0.5701646513978053,0.0,0.0
2025-12-01 09:35:00+05:30,26294.30078125,26302.900390625,26293.69921875,26301.099609375,0,-0.0002224420739748,0.000344270013909,9.201171875,0.738908936531522,0.0653789004457652,0.9856679568992572,0.0002599529427129,26319.900390625,26272.25,0.4627618149772513,20,11.30500030517578,11.327500343322754,11.292499542236328,11.3149995803833,0,-0.0008841092758122,-0.0011050777151371,-0.0049995422363302,0.0350008010864257,0.7000160217285156,1.0,0.0
2025-12-01 09:36:00+05:30,26296.0,26298.5,26293.25,26295.19921875,0,6.462099380860911e-05,-6.276007135016715e-05,5.25,0.1525297619047619,0.5238095238095238,0.6020696142991533,0.0002463226844478,26319.900390625,26272.25,0.4984219371234168,21,11.177499771118164,11.30500030517578,11.177499771118164,11.30500030517578,0,-0.011342324075711,-0.0115634036000802,-0.106500053405762,0.1275005340576154,2.3502381107245305,1.0,0.0
2025-12-01 09:37:00+05:30,26301.400390625,26301.900390625,26296.650390625,26296.650390625,0,0.0002053481960655,4.7527115899453426e-05,5.25,0.9047619047619048,0.9047619047619048,0.6481637770972486,0.0002498195415783,26319.900390625,26272.25,0.6117555437143911,22,11.1899995803833,11.22249984741211,11.177499771118164,11.177499771118164,0,0.0011176761755915,-0.0104457274244885,-0.0705001831054694,0.0450000762939453,0.8219182854435522,1.0,0.0
2025-12-01 09:38:00+05:30,26308.94921875,26309.05078125,26300.400390625,26300.599609375,0,0.0002869712226911,0.0005569404125654,8.650390625,0.9652291713705126,0.9882592007225108,1.0403551630179462,0.0002592813433984,26319.900390625,26272.25,0.770176661064885,23,11.164999961853027,11.210000038146973,11.164999961853027,11.199999809265137,0,-0.0022366029491105,-0.0133453601250422,-0.0654998779296871,0.0450000762939453,0.8695652173913043,0.0,0.0
2025-12-01 09:39:00+05:30,26311.0,26312.5,26307.19921875,26307.900390625,0,7.79469110663799e-05,0.0005702663298232,5.30078125,0.5847457627118644,0.7170228445099485,0.6609517315279334,0.0002465277680573,26319.900390625,26272.25,0.8132147395171537,24,11.210000038146973,11.210000038146973,11.164999961853027,11.164999961853027,0,0.0040223586115454,-0.0093230015134967,0.0005001068115237,0.0450000762939453,0.8999998092655005,0.0,1.0
2025-12-01 09:40:00+05:30,26307.30078125,26314.69921875,26307.30078125,26311.349609375,0,-0.0001406057854841,0.0002243123482734,7.3984375,0.5472544878563886,0.0,0.9735036365038164,0.000233981687137,26319.900390625,26272.25,0.73558224371849,25,11.210000038146973,11.220000267028809,11.175000190734863,11.210000038146973,0,0.0,-0.0084388922376844,0.0195001602172855,0.0450000762939453,0.8955229545842743,0.0,1.0
