Datetime,Close,High,Low,Open,Volume
2025-12-04 09:15:00+05:30,25951.55078125,25985.5,25943.349609375,25981.849609375,0
2025-12-04 09:16:00+05:30,25955.150390625,25958.599609375,25940.099609375,25950.75,0
2025-12-04 09:17:00+05:30,25960.150390625,25960.150390625,25944.0,25955.75,0
2025-12-04 09:18:00+05:30,25958.400390625,25961.900390625,25954.05078125,25959.099609375,0
2025-12-04 09:19:00+05:30,25950.0,25959.55078125,25946.400390625,25958.5,0
2025-12-04 09:20:00+05:30,25949.650390625,25953.69921875,25946.0,25949.55078125,0
2025-12-04 09:21:00+05:30,25955.400390625,25955.400390625,25945.900390625,25948.599609375,0
2025-12-04 09:22:00+05:30,25960.349609375,25960.349609375,25949.099609375,25955.599609375,0
2025-12-04 09:23:00+05:30,25986.599609375,25987.75,25961.0,25961.849609375,0
2025-12-04 09:24:00+05:30,25992.650390625,25994.0,25981.75,25985.44921875,0
2025-12-04 09:25:00+05:30,25978.650390625,25992.650390625,25978.0,25992.650390625,0
2025-12-04 09:26:00+05:30,25979.849609375,25982.19921875,25975.900390625,25977.599609375,0
2025-12-04 09:27:00+05:30,25985.849609375,25986.94921875,25973.349609375,25979.19921875,0
2025-12-04 09:28:00+05:30,25990.349609375,25990.349609375,25983.650390625,25986.25,0
2025-12-04 09:29:00+05:30,25996.349609375,25996.44921875,25988.25,25990.80078125,0
2025-12-04 09:30:00+05:30,25996.94921875,25998.75,25991.0,25995.849609375,0
2025-12-04 09:31:00+05:30,25996.55078125,25998.599609375,25992.94921875,25997.05078125,0
2025-12-04 09:32:00+05:30,25983.849609375,25995.94921875,25979.349609375,25995.94921875,0
2025-12-04 09:33:00+05:30,25992.099609375,25992.150390625,25982.19921875,25983.5,0
2025-12-04 09:34:00+05:30,26001.349609375,26001.94921875,25988.150390625,25990.900390625,0
2025-12-04 09:35:00+05:30,26017.19921875,26018.0,26000.80078125,26000.80078125,0
2025-12-04 09:36:00+05:30,26020.349609375,26022.75,26016.150390625,26016.75,0
2025-12-04 09:37:00+05:30,26025.80078125,26029.30078125,26019.75,26021.30078125,0
2025-12-04 09:38:00+05:30,26018.69921875,26027.400390625,26017.599609375,26025.25,0
2025-12-04 09:39:00+05:30,26013.55078125,26018.650390625,26012.19921875,26018.650390625,0
2025-12-04 09:40:00+05:30,26004.80078125,26014.400390625,26001.25,26013.44921875,0
2025-12-04 09:41:00+05:30,26005.25,26006.69921875,25999.150390625,26003.5,0
2025-12-04 09:42:00+05:30,26012.400390625,26015.94921875,26004.5,26004.5,0
2025-12-04 09:43:00+05:30,26015.94921875,26017.75,26011.30078125,26011.849609375,0
2025-12-04 09:44:00+05:30,26027.94921875,26028.75,26015.900390625,26016.44921875,0
2025-12-04 09:45:00+05:30,26025.19921875,26029.05078125,26022.44921875,26028.150390625,0
2025-12-04 09:46:00+05:30,26022.599609375,26026.349609375,26022.0,26025.0,0
2025-12-04 09:47:00+05:30,26020.55078125,26027.55078125,26018.44921875,26021.94921875,0
2025-12-04 09:48:00+05:30,26017.099609375,26021.69921875,26013.849609375,26021.05078125,0
2025-12-04 09:49:00+05:30,26016.900390625,26021.650390625,26015.75,26017.599609375,0
2025-12-04 09:50:00+05:30,26021.75,26023.150390625,26015.349609375,26016.30078125,0
2025-12-04 09:51:00+05:30,26024.19921875,26025.599609375,26021.0,26022.5,0
2025-12-04 09:52:00+05:30,26034.0,26036.19921875,26023.75,26025.099609375,0
2025-12-04 09:53:00+05:30,26025.19921875,26034.44921875,26025.19921875,26032.80078125,0
2025-12-04 09:54:00+05:30,26029.05078125,26029.05078125,26021.5,26025.900390625,0
2025-12-04 09:55:00+05:30,26032.900390625,26034.900390625,26027.650390625,26027.900390625,0
2025-12-04 09:56:00+05:30,26033.650390625,26036.0,26031.30078125,26032.44921875,0
2025-12-04 09:57:00+05:30,26029.0,26034.05078125,26027.05078125,26033.349609375,0
2025-12-04 09:58:00+05:30,26031.650390625,26033.849609375,26025.849609375,26028.75,0
2025-12-04 09:59:00+05:30,26029.55078125,26033.900390625,26028.30078125,26031.05078125,0
2025-12-04 10:00:00+05:30,26032.44921875,26033.44921875,26027.75,26028.30078125,0
