Datetime,Open,High,Low,Close,Volume
2026-07-13 09:15:00+05:30,24019.900390625,24039.400390625,24000.849609375,24039.400390625,0
2026-07-13 09:16:00+05:30,24035.80078125,24038.05078125,24008.849609375,24021.55078125,0
2026-07-13 09:17:00+05:30,24043.94921875,24044.0,24024.650390625,24032.25,0
2026-07-13 09:18:00+05:30,24030.0,24043.849609375,24019.55078125,24043.400390625,0
2026-07-13 09:19:00+05:30,24028.849609375,24031.099609375,24022.900390625,24030.55078125,0
2026-07-13 09:20:00+05:30,24028.30078125,24032.0,24017.44921875,24027.44921875,0
2026-07-13 09:21:00+05:30,24026.30078125,24037.30078125,24021.650390625,24028.349609375,0
2026-07-13 09:22:00+05:30,24030.69921875,24034.25,24022.5,24026.349609375,0
2026-07-13 09:23:00+05:30,24028.849609375,24032.0,24020.19921875,24032.0,0
2026-07-13 09:24:00+05:30,24022.900390625,24029.69921875,24020.0,24029.650390625,0
2026-07-13 09:25:00+05:30,24028.0,24033.94921875,24023.44921875,24023.5,0
2026-07-13 09:26:00+05:30,24030.80078125,24032.400390625,24020.75,24029.94921875,0
2026-07-13 09:27:00+05:30,24023.55078125,24032.75,24014.650390625,24031.05078125,0
2026-07-13 09:28:00+05:30,24024.599609375,24029.400390625,24018.849609375,24023.400390625,0
2026-07-13 09:29:00+05:30,24027.900390625,24030.650390625,24021.30078125,24024.099609375,0
2026-07-13 09:30:00+05:30,24029.599609375,24030.150390625,24022.150390625,24027.44921875,0
2026-07-13 09:31:00+05:30,24025.0,24031.650390625,24021.94921875,24029.30078125,0
2026-07-13 09:32:00+05:30,24035.099609375,24037.44921875,24025.55078125,24025.69921875,0
2026-07-13 09:33:00+05:30,24034.150390625,24038.650390625,24026.19921875,24036.900390625,0
2026-07-13 09:34:00+05:30,24028.25,24031.349609375,24019.349609375,24027.75,0
2026-07-13 09:35:00+05:30,24025.80078125,24030.69921875,24021.55078125,24028.05078125,0
2026-07-13 09:36:00+05:30,24042.94921875,24044.150390625,24026.05078125,24026.05078125,0
2026-07-13 09:37:00+05:30,24056.849609375,24056.94921875,24042.349609375,24043.650390625,0
2026-07-13 09:38:00+05:30,24055.30078125,24062.55078125,24046.25,24057.599609375,0
2026-07-13 09:39:00+05:30,24068.30078125,24070.80078125,24055.30078125,24055.30078125,0
2026-07-13 09:40:00+05:30,24067.94921875,24074.69921875,24065.349609375,24067.94921875,0
2026-07-13 09:41:00+05:30,24075.0,24077.0,24065.400390625,24067.849609375,0
2026-07-13 09:42:00+05:30,24077.849609375,24079.0,24066.150390625,24075.0,0
2026-07-13 09:43:00+05:30,24081.75,24089.900390625,24077.55078125,24078.44921875,0
2026-07-13 09:44:00+05:30,24075.0,24082.400390625,24072.30078125,24082.25,0
2026-07-13 09:45:00+05:30,24070.55078125,24079.599609375,24070.349609375,24075.0,0
2026-07-13 09:46:00+05:30,24086.0,24087.349609375,24070.349609375,24070.349609375,0
2026-07-13 09:47:00+05:30,24091.94921875,24091.94921875,24082.05078125,24086.650390625,0
2026-07-13 09:48:00+05:30,24089.5,24095.650390625,24087.349609375,24090.849609375,0
2026-07-13 09:49:00+05:30,24108.099609375,24108.849609375,24086.30078125,24089.44921875,0
2026-07-13 09:50:00+05:30,24102.849609375,24108.69921875,24096.099609375,24107.44921875,0
2026-07-13 09:51:00+05:30,24101.5,24103.19921875,24094.80078125,24102.44921875,0
2026-07-13 09:52:00+05:30,24111.05078125,24112.25,24100.05078125,24100.599609375,0
2026-07-13 09:53:00+05:30,24113.05078125,24117.400390625,24110.0,24111.30078125,0
2026-07-13 09:54:00+05:30,24115.80078125,24119.650390625,24110.25,24113.75,0
2026-07-13 09:55:00+05:30,24113.5,24119.75,24111.94921875,24116.0,0
2026-07-13 09:56:00+05:30,24113.150390625,24119.349609375,24113.150390625,24113.69921875,0
2026-07-13 09:57:00+05:30,24107.349609375,24115.44921875,24104.849609375,24113.44921875,0
2026-07-13 09:58:00+05:30,24118.94921875,24119.400390625,24106.19921875,24107.0,0
2026-07-13 09:59:00+05:30,24119.599609375,24122.19921875,24115.94921875,24118.349609375,0
2026-07-13 10:00:00+05:30,24124.25,24125.650390625,24117.0,24121.19921875,0
2026-07-13 10:01:00+05:30,24115.599609375,24128.650390625,24115.19921875,24124.599609375,0
2026-07-13 10:02:00+05:30,24123.349609375,24123.80078125,24114.150390625,24115.55078125,0
2026-07-13 10:03:00+05:30,24110.849609375,24123.849609375,24105.19921875,24123.099609375,0
2026-07-13 10:04:00+05:30,24110.55078125,24115.30078125,24107.150390625,24110.25,0
2026-07-13 10:05:00+05:30,24107.349609375,24113.650390625,24104.80078125,24110.099609375,0
2026-07-13 10:06:00+05:30,24103.80078125,24109.599609375,24101.099609375,24107.05078125,0
2026-07-13 10:07:00+05:30,24098.650390625,24106.599609375,24092.80078125,24104.94921875,0
2026-07-13 10:08:00+05:30,24119.05078125,24119.349609375,24097.400390625,24099.849609375,0
2026-07-13 10:09:00+05:30,24109.25,24122.849609375,24103.80078125,24117.55078125,0
2026-07-13 10:10:00+05:30,24108.150390625,24118.80078125,24104.94921875,24109.30078125,0
2026-07-13 10:11:00+05:30,24111.25,24113.5,24102.69921875,24110.69921875,0
2026-07-13 10:12:00+05:30,24111.44921875,24120.349609375,24110.599609375,24111.400390625,0
2026-07-13 10:13:00+05:30,24109.25,24112.94921875,24106.75,24112.099609375,0
2026-07-13 10:14:00+05:30,24112.94921875,24115.30078125,24105.150390625,24107.80078125,0
2026-07-13 10:15:00+05:30,24111.80078125,24120.75,24110.55078125,24114.150390625,0
2026-07-13 10:16:00+05:30,24109.44921875,24112.94921875,24104.80078125,24111.349609375,0
2026-07-13 10:17:00+05:30,24106.900390625,24112.099609375,24104.599609375,24109.5,0
2026-07-13 10:18:00+05:30,24114.05078125,24118.05078125,24106.849609375,24107.599609375,0
2026-07-13 10:19:00+05:30,24113.44921875,24114.400390625,24107.900390625,24113.30078125,0
2026-07-13 10:20:00+05:30,24116.80078125,24120.599609375,24113.400390625,24113.80078125,0
2026-07-13 10:21:00+05:30,24117.55078125,24119.0,24115.099609375,24117.400390625,0
2026-07-13 10:22:00+05:30,24121.150390625,24126.650390625,24116.30078125,24117.25,0
2026-07-13 10:23:00+05:30,24112.69921875,24122.900390625,24109.5,24121.69921875,0
2026-07-13 10:24:00+05:30,24118.349609375,24121.650390625,24113.099609375,24113.150390625,0
2026-07-13 10:25:00+05:30,24122.0,24123.30078125,24114.30078125,24119.099609375,0
2026-07-13 10:26:00+05:30,24123.80078125,24125.849609375,24121.30078125,24123.05078125,0
2026-07-13 10:27:00+05:30,24135.94921875,24135.94921875,24123.44921875,24123.94921875,0
2026-07-13 10:28:00+05:30,24143.150390625,24143.80078125,24133.05078125,24136.30078125,0
2026-07-13 10:29:00+05:30,24145.19921875,24157.349609375,24143.150390625,24143.150390625,0
2026-07-13 10:30:00+05:30,24142.5,24149.25,24135.94921875,24145.80078125,0
2026-07-13 10:31:00+05:30,24135.44921875,24142.55078125,24132.0,24142.55078125,0
2026-07-13 10:32:00+05:30,24148.400390625,24153.05078125,24135.599609375,24135.650390625,0
2026-07-13 10:33:00+05:30,24152.44921875,24156.25,24147.94921875,24148.30078125,0
2026-07-13 10:34:00+05:30,24154.5,24155.849609375,24148.19921875,24153.5,0
