Datetime,close,high,low,open,volume,ret_1,ret_3,range,body_ratio,close_pos,range_exp_10,rv_10,high_30,low_30,range_pos_30,minutes_from_open,target_call,target_put
2025-11-27 09:24:00+05:30,26274.400390625,26289.5,26274.400390625,26288.75,0,-0.0004718457941826,0.0001294267663571,15.099609375,0.9503298409002716,0.0,0.8456944079810974,0.0003795999709941,26289.599609375,26210.849609375,0.8069940476190476,9,0.0,0.0
2025-11-27 09:25:00+05:30,26258.650390625,26276.69921875,26258.650390625,26274.69921875,0,-0.0005996225323935,-0.0008527034407373,18.048828125,0.8891894816578292,0.0,1.2345695505798109,0.0004318865891399,26289.599609375,26210.849609375,0.6069940476190476,10,1.0,0.0
2025-11-27 09:26:00+05:30,26269.650390625,26278.599609375,26261.150390625,26261.80078125,0,0.0004188218540174,-0.0006526464725586,17.44921875,0.4498544884710096,0.4871278262816207,1.2097003506966542,0.0004036754833172,26289.599609375,26210.849609375,0.7466765873015873,11,1.0,0.0
2025-11-27 09:27:00+05:30,26278.75,26281.30078125,26267.19921875,26270.55078125,0,0.0003463325010204,0.0001655318226444,14.1015625,0.5814404432132964,0.8191135734072023,0.9816851809047276,0.0004016930538145,26289.599609375,26210.849609375,0.8622271825396826,12,0.0,0.0
2025-11-27 09:28:00+05:30,26286.94921875,26288.900390625,26275.650390625,26279.5,0,0.000311960800992,0.0010771151560298,13.25,0.5622051886792453,0.8527417452830188,0.9591268326476368,0.000389814904039,26289.599609375,26210.849609375,0.966344246031746,13,0.0,1.0
2025-11-27 09:29:00+05:30,26283.80078125,26289.25,26281.0,26286.150390625,0,-0.0001197790597913,0.000538514242221,8.25,0.2848011363636363,0.3394886363636363,0.6070797223300134,0.0003973532470997,26289.599609375,26210.849609375,0.9263640873015871,14,0.0,1.0
2025-11-27 09:30:00+05:30,26273.19921875,26286.599609375,26271.25,26285.150390625,0,-0.0004034310422508,-0.0002112493010501,15.349609375,0.7785977859778598,0.1269881664333884,1.0737952424544672,0.0004301407020115,26289.599609375,26210.849609375,0.7917410714285714,15,0.0,0.0
2025-11-27 09:31:00+05:30,26278.349609375,26282.25,26270.94921875,26272.349609375,0,0.0001960128961503,-0.000327197205892,11.30078125,0.5309367438645005,0.6548565502938126,0.8297243812200649,0.0003911142989786,26289.599609375,26210.849609375,0.8571428571428571,16,0.0,0.0
2025-11-27 09:32:00+05:30,26279.94921875,26281.55078125,26276.94921875,26277.80078125,0,6.086990679535701e-05,-0.0001465482393053,4.6015625,0.466893039049236,0.6519524617996605,0.360906862745098,0.0003714499123628,26289.599609375,26210.849609375,0.8774553571428572,17,0.0,1.0
2025-11-27 09:33:00+05:30,26276.25,26281.099609375,26276.05078125,26280.099609375,0,-0.0001407719283775,0.000116110874568,5.048828125,0.7624758220502902,0.039458413926499,0.4121492346938775,0.0003648124763219,26289.599609375,26210.849609375,0.8304811507936508,18,0.0,0.0
2025-11-27 09:34:00+05:30,26279.599609375,26281.25,26274.349609375,26275.400390625,0,0.0001274685655137,4.7566543931626016e-05,6.900390625,0.6085479762241721,0.7608264930653835,0.6037045897269403,0.00033393354875,26289.599609375,26210.849609375,0.873015873015873,19,0.0,1.0
2025-11-27 09:35:00+05:30,26279.099609375,26281.5,26273.900390625,26279.94921875,0,-1.9026346064436063e-05,-3.232970892808016e-05,7.599609375,0.1117964533538936,0.6841428938576202,0.7317761227713835,0.0002555461650152,26289.599609375,26210.849609375,0.8666666666666667,20,0.0,1.0
2025-11-27 09:36:00+05:30,26275.69921875,26280.80078125,26272.94921875,26279.650390625,0,-0.0001294036208135,-2.0961401364132567e-05,7.8515625,0.5032338308457711,0.3502487562189055,0.8330225040407808,0.0002319882981251,26289.599609375,26210.849609375,0.8234871031746032,21,0.0,1.0
2025-11-27 09:37:00+05:30,26266.30078125,26274.599609375,26266.150390625,26272.5,0,-0.0003577495184895,-0.0005061794853674,8.44921875,0.7337031900138696,0.017799352750809,0.9536196102636452,0.0002297953289818,26289.599609375,26210.849609375,0.704141865079365,22,0.0,0.0
2025-11-27 09:38:00+05:30,26269.400390625,26272.05078125,26266.349609375,26267.599609375,0,0.000118000114568,-0.0003691530247351,5.701171875,0.315861596437136,0.5351147653305927,0.7033904431432083,0.0002026803232778,26289.599609375,26210.849609375,0.7435019841269841,23,0.0,1.0
2025-11-27 09:39:00+05:30,26251.55078125,26270.44921875,26251.55078125,26269.55078125,0,-0.0006797138918453,-0.0009194632957668,18.8984375,0.9524596940884664,0.0,2.060871972907925,0.0002811166328287,26289.599609375,26210.849609375,0.5168402777777777,24,0.0,1.0
2025-11-27 09:40:00+05:30,26233.599609375,26249.55078125,26233.599609375,26249.55078125,0,-0.000684047676014,-0.0012457614532913,15.951171875,1.0,0.0,1.7281364396199668,0.0003231140102802,26289.599609375,26210.849609375,0.2888888888888888,25,0.0,0.0
