Datetime,Open,High,Low,Close,Volume
2026-04-24 09:15:00+05:30,24151.849609375,24203.349609375,24109.55078125,24109.55078125,0
2026-04-24 09:16:00+05:30,24131.349609375,24153.5,24122.05078125,24149.849609375,0
2026-04-24 09:17:00+05:30,24106.94921875,24135.19921875,24102.25,24132.900390625,0
2026-04-24 09:18:00+05:30,24113.650390625,24125.0,24109.75,24109.75,0
2026-04-24 09:19:00+05:30,24124.19921875,24131.900390625,24113.849609375,24116.400390625,0
2026-04-24 09:20:00+05:30,24087.69921875,24121.75,24087.69921875,24121.150390625,0
2026-04-24 09:21:00+05:30,24088.849609375,24102.05078125,24080.150390625,24085.75,0
2026-04-24 09:22:00+05:30,24107.19921875,24112.0,24088.94921875,24089.05078125,0
2026-04-24 09:23:00+05:30,24103.349609375,24118.849609375,24103.349609375,24107.150390625,0
2026-04-24 09:24:00+05:30,24091.099609375,24104.650390625,24089.19921875,24102.650390625,0
2026-04-24 09:25:00+05:30,24078.099609375,24091.30078125,24073.099609375,24091.30078125,0
2026-04-24 09:26:00+05:30,24076.400390625,24082.5,24072.599609375,24078.099609375,0
2026-04-24 09:27:00+05:30,24068.599609375,24078.349609375,24064.849609375,24077.19921875,0
2026-04-24 09:28:00+05:30,24064.30078125,24073.19921875,24061.94921875,24068.900390625,0
2026-04-24 09:29:00+05:30,24058.099609375,24064.900390625,24056.80078125,24064.150390625,0
2026-04-24 09:30:00+05:30,24053.599609375,24059.69921875,24036.650390625,24058.05078125,0
2026-04-24 09:31:00+05:30,24046.69921875,24061.599609375,24046.69921875,24053.80078125,0
2026-04-24 09:32:00+05:30,24029.44921875,24049.099609375,24028.25,24046.400390625,0
2026-04-24 09:33:00+05:30,24031.30078125,24032.94921875,24024.650390625,24029.19921875,0
2026-04-24 09:34:00+05:30,24017.650390625,24032.650390625,24012.30078125,24029.900390625,0
2026-04-24 09:35:00+05:30,24025.69921875,24027.150390625,24011.75,24017.30078125,0
2026-04-24 09:36:00+05:30,24009.599609375,24025.44921875,24008.80078125,24025.44921875,0
2026-04-24 09:37:00+05:30,24008.94921875,24016.849609375,24001.30078125,24008.5,0
2026-04-24 09:38:00+05:30,24008.599609375,24010.05078125,24004.94921875,24008.44921875,0
2026-04-24 09:39:00+05:30,24002.44921875,24012.349609375,24002.44921875,24008.599609375,0
2026-04-24 09:40:00+05:30,24002.80078125,24006.400390625,23996.30078125,24002.0,0
2026-04-24 09:41:00+05:30,23993.94921875,24002.75,23993.19921875,24002.75,0
2026-04-24 09:42:00+05:30,24000.25,24002.19921875,23993.55078125,23994.400390625,0
2026-04-24 09:43:00+05:30,23991.849609375,24004.349609375,23990.099609375,24000.650390625,0
2026-04-24 09:44:00+05:30,23984.25,23993.69921875,23984.0,23991.849609375,0
2026-04-24 09:45:00+05:30,23968.5,23985.400390625,23968.5,23985.400390625,0
2026-04-24 09:46:00+05:30,23958.80078125,23971.94921875,23958.05078125,23968.30078125,0
2026-04-24 09:47:00+05:30,23957.150390625,23965.349609375,23957.150390625,23958.19921875,0
2026-04-24 09:48:00+05:30,23973.69921875,23978.900390625,23958.599609375,23958.69921875,0
2026-04-24 09:49:00+05:30,23984.099609375,23984.099609375,23972.349609375,23973.650390625,0
2026-04-24 09:50:00+05:30,23965.75,23986.0,23964.900390625,23984.150390625,0
2026-04-24 09:51:00+05:30,23984.19921875,23985.55078125,23963.0,23965.30078125,0
2026-04-24 09:52:00+05:30,23981.150390625,23987.150390625,23979.150390625,23983.25,0
2026-04-24 09:53:00+05:30,23975.150390625,23982.30078125,23973.75,23980.80078125,0
2026-04-24 09:54:00+05:30,23959.099609375,23975.25,23955.30078125,23974.25,0
2026-04-24 09:55:00+05:30,23954.5,23957.400390625,23944.849609375,23957.400390625,0
2026-04-24 09:56:00+05:30,23952.19921875,23958.55078125,23950.94921875,23953.25,0
2026-04-24 09:57:00+05:30,23952.900390625,23954.5,23950.400390625,23952.5,0
2026-04-24 09:58:00+05:30,23955.150390625,23956.44921875,23949.19921875,23952.349609375,0
2026-04-24 09:59:00+05:30,23955.0,23964.05078125,23953.69921875,23954.44921875,0
2026-04-24 10:00:00+05:30,23976.44921875,23977.849609375,23954.5,23954.900390625,0
2026-04-24 10:01:00+05:30,23988.349609375,23990.19921875,23975.849609375,23975.849609375,0
2026-04-24 10:02:00+05:30,23983.349609375,23991.099609375,23980.400390625,23988.44921875,0
2026-04-24 10:03:00+05:30,23988.400390625,23993.849609375,23983.19921875,23983.650390625,0
2026-04-24 10:04:00+05:30,23990.400390625,23995.400390625,23987.650390625,23988.0,0
2026-04-24 10:05:00+05:30,23996.650390625,24000.94921875,23990.400390625,23990.400390625,0
2026-04-24 10:06:00+05:30,24002.44921875,24002.44921875,23994.0,23996.849609375,0
2026-04-24 10:07:00+05:30,23993.5,24003.349609375,23993.5,24002.69921875,0
2026-04-24 10:08:00+05:30,23993.900390625,23994.94921875,23988.150390625,23993.400390625,0
2026-04-24 10:09:00+05:30,23986.94921875,23993.349609375,23986.349609375,23992.900390625,0
2026-04-24 10:10:00+05:30,23989.0,23993.400390625,23977.349609375,23986.650390625,0
2026-04-24 10:11:00+05:30,23993.80078125,23995.5,23987.94921875,23989.400390625,0
2026-04-24 10:12:00+05:30,23998.30078125,23998.55078125,23992.150390625,23993.849609375,0
2026-04-24 10:13:00+05:30,23996.849609375,24000.900390625,23996.44921875,23998.75,0
2026-04-24 10:14:00+05:30,23992.849609375,23997.19921875,23992.349609375,23996.099609375,0
2026-04-24 10:15:00+05:30,23981.849609375,23992.25,23980.150390625,23992.25,0
2026-04-24 10:16:00+05:30,23977.150390625,23982.150390625,23976.30078125,23981.349609375,0
2026-04-24 10:17:00+05:30,23978.900390625,23979.650390625,23975.44921875,23976.900390625,0
2026-04-24 10:18:00+05:30,23981.900390625,23983.55078125,23973.099609375,23977.849609375,0
2026-04-24 10:19:00+05:30,23971.30078125,23983.349609375,23969.099609375,23981.80078125,0
2026-04-24 10:20:00+05:30,23966.650390625,23974.69921875,23964.94921875,23971.900390625,0
2026-04-24 10:21:00+05:30,23959.69921875,23966.80078125,23958.5,23966.5,0
2026-04-24 10:22:00+05:30,23959.55078125,23963.0,23958.30078125,23958.400390625,0
2026-04-24 10:23:00+05:30,23953.80078125,23960.150390625,23951.94921875,23959.099609375,0
2026-04-24 10:24:00+05:30,23943.900390625,23955.849609375,23943.44921875,23954.0,0
2026-04-24 10:25:00+05:30,23950.55078125,23952.25,23937.400390625,23943.94921875,0
2026-04-24 10:26:00+05:30,23958.75,23962.099609375,23950.94921875,23950.94921875,0
2026-04-24 10:27:00+05:30,23958.599609375,23962.150390625,23956.849609375,23958.150390625,0
2026-04-24 10:28:00+05:30,23958.5,23960.5,23951.69921875,23958.099609375,0
2026-04-24 10:29:00+05:30,23957.69921875,23960.349609375,23955.5,23957.650390625,0
2026-04-24 10:30:00+05:30,23959.849609375,23960.400390625,23951.900390625,23956.19921875,0
2026-04-24 10:31:00+05:30,23960.05078125,23964.599609375,23957.94921875,23960.30078125,0
2026-04-24 10:32:00+05:30,23961.05078125,23961.05078125,23953.75,23959.30078125,0
2026-04-24 10:33:00+05:30,23966.5,23967.900390625,23960.400390625,23960.69921875,0
2026-04-24 10:34:00+05:30,23965.400390625,23971.19921875,23964.94921875,23966.150390625,0
2026-04-24 10:35:00+05:30,23960.80078125,23967.75,23959.400390625,23965.25,0
2026-04-24 10:36:00+05:30,23961.400390625,23962.099609375,23952.0,23960.400390625,0
2026-04-24 10:37:00+05:30,23959.849609375,23966.19921875,23959.099609375,23961.30078125,0
2026-04-24 10:38:00+05:30,23952.599609375,23961.849609375,23951.099609375,23960.0,0
2026-04-24 10:39:00+05:30,23956.599609375,23957.19921875,23945.75,23951.849609375,0
2026-04-24 10:40:00+05:30,23959.599609375,23959.599609375,23950.25,23955.80078125,0
2026-04-24 10:41:00+05:30,23945.80078125,23959.69921875,23945.30078125,23959.69921875,0
2026-04-24 10:42:00+05:30,23941.650390625,23946.599609375,23939.150390625,23946.05078125,0
2026-04-24 10:43:00+05:30,23939.25,23944.0,23938.0,23942.75,0
2026-04-24 10:44:00+05:30,23933.650390625,23941.599609375,23932.80078125,23939.849609375,0
2026-04-24 10:45:00+05:30,23936.650390625,23939.30078125,23931.69921875,23933.400390625,0
2026-04-24 10:46:00+05:30,23936.80078125,23939.75,23934.849609375,23937.849609375,0
2026-04-24 10:47:00+05:30,23928.75,23938.099609375,23926.599609375,23936.30078125,0
2026-04-24 10:48:00+05:30,23920.650390625,23929.19921875,23918.05078125,23928.44921875,0
2026-04-24 10:49:00+05:30,23920.19921875,23923.349609375,23915.5,23921.849609375,0
2026-04-24 10:50:00+05:30,23923.25,23926.599609375,23918.05078125,23920.849609375,0
2026-04-24 10:51:00+05:30,23933.55078125,23941.44921875,23923.599609375,23923.599609375,0
2026-04-24 10:52:00+05:30,23937.400390625,23943.30078125,23933.94921875,23933.94921875,0
2026-04-24 10:53:00+05:30,23937.80078125,23943.599609375,23936.25,23939.099609375,0
2026-04-24 10:54:00+05:30,23942.05078125,23944.0,23937.099609375,23938.650390625,0
2026-04-24 10:55:00+05:30,23941.80078125,23944.849609375,23939.94921875,23943.349609375,0
2026-04-24 10:56:00+05:30,23941.55078125,23943.900390625,23938.25,23941.5,0
2026-04-24 10:57:00+05:30,23929.69921875,23941.94921875,23929.5,23941.94921875,0
2026-04-24 10:58:00+05:30,23931.30078125,23933.69921875,23926.55078125,23931.55078125,0
