timestamp,price
2025-09-25T12:31:53.852429,282.050000
2025-09-25T12:32:04.347818,282.050000
2025-09-25T12:32:14.458988,282.050000
2025-09-25T12:32:24.652545,281.950000
2025-09-25T12:32:35.844346,282.000000
2025-09-25T12:32:45.983184,282.000000
2025-09-25T12:32:56.104746,282.050000
2025-09-25T12:33:07.226840,282.050000
2025-09-25T12:33:17.341662,282.050000
2025-09-25T12:33:28.560039,282.050000
2025-09-25T12:33:39.015867,282.080000
2025-09-25T12:33:49.118017,282.040000
2025-09-25T12:33:59.252213,282.000000
2025-09-25T12:34:16.299647,282.000000
2025-09-25T12:34:26.470040,282.000000
2025-09-25T12:34:36.865253,282.000000
2025-09-25T12:34:47.980072,282.000000
2025-09-25T12:34:58.331935,282.000000
2025-09-25T12:35:09.460428,282.000000
2025-09-25T12:35:21.588770,282.000000
2025-09-25T12:35:31.693352,282.000000
2025-09-25T12:35:41.801654,282.000000
2025-09-25T12:35:52.920062,281.980000
2025-09-25T12:36:03.030832,282.000000
2025-09-25T12:36:13.148578,282.000000
2025-09-25T12:36:23.263208,282.000000
2025-09-25T12:36:33.371924,282.000000
2025-09-25T12:36:44.486116,281.950000
2025-09-25T12:36:54.615817,282.000000
2025-09-25T12:37:04.739200,282.000000
2025-09-25T12:37:14.847503,281.960000
2025-09-25T12:37:24.992845,282.000000
2025-09-25T12:37:35.606331,282.000000
2025-09-25T12:37:45.759473,281.930000
2025-09-25T12:37:55.894130,282.000000
2025-09-25T12:38:06.042387,282.000000
2025-09-25T12:38:16.155809,281.990000
2025-09-25T12:38:26.383347,281.990000
2025-09-25T12:38:39.564786,281.990000
2025-09-25T12:38:49.698457,281.990000
2025-09-25T12:38:59.799478,281.990000
2025-09-25T12:39:09.907549,281.990000
2025-09-25T12:39:20.025608,281.990000
2025-09-25T12:39:30.148081,281.950000
2025-09-25T12:39:40.265660,281.990000
2025-09-25T12:39:50.413513,281.990000
2025-09-25T12:40:00.543893,281.990000
2025-09-25T12:40:11.052222,281.990000
2025-09-25T12:40:21.218873,281.960000
2025-09-25T12:40:31.602920,281.990000
2025-09-25T12:40:42.782690,281.990000
2025-09-25T12:40:53.496833,281.960000
2025-09-25T12:41:03.632366,281.960000
2025-09-25T12:41:13.813019,281.990000
2025-09-25T12:41:23.930099,281.990000
2025-09-25T12:41:34.060504,281.990000
2025-09-25T12:41:44.180168,281.990000
2025-09-25T12:41:55.327048,281.990000
2025-09-25T12:42:09.463985,281.990000
2025-09-25T12:42:19.567904,281.990000
2025-09-25T12:42:29.683812,281.990000
2025-09-25T12:42:39.864945,281.980000
2025-09-25T12:42:51.006994,281.990000
2025-09-25T12:43:01.546324,281.970000
2025-09-25T12:43:11.788870,281.970000
2025-09-25T12:43:23.073986,281.960000
2025-09-25T12:43:33.192151,281.960000
2025-09-25T12:43:44.578846,281.970000
2025-09-25T12:43:54.693366,281.920000
2025-09-25T12:44:04.811542,281.860000
2025-09-25T12:44:14.938619,281.880000
2025-09-25T12:44:25.053873,281.850000
2025-09-25T12:44:35.171448,281.840000
2025-09-25T12:44:48.405572,281.850000
2025-09-25T12:44:58.527081,281.840000
2025-09-25T12:45:08.906032,281.820000
2025-09-25T12:45:19.392604,281.830000
2025-09-25T12:45:29.525933,281.840000
2025-09-25T12:45:39.882424,281.840000
2025-09-25T12:45:50.274839,281.900000
2025-09-25T12:46:00.410763,281.900000
2025-09-25T12:46:10.516505,281.900000
2025-09-25T12:46:20.687213,281.830000
2025-09-25T12:46:31.040868,281.920000
2025-09-25T12:46:41.468863,281.940000
2025-09-25T12:46:51.877990,281.920000
2025-09-25T12:47:02.002825,281.940000
2025-09-25T12:47:12.214427,281.950000
2025-09-25T12:47:22.355423,281.950000
2025-09-25T12:47:32.479498,281.940000
2025-09-25T12:47:42.615709,281.940000
2025-09-25T12:47:52.743767,281.940000
2025-09-25T12:48:02.854963,281.940000
2025-09-25T12:48:12.983631,281.900000
2025-09-25T12:48:23.104468,281.910000
2025-09-25T12:48:44.893753,281.910000
2025-09-25T12:48:56.801161,281.930000
2025-09-25T12:49:07.063239,281.950000
2025-09-25T12:49:18.533618,281.940000
