Date,INRUSD_X,IndiaVIX_Daily_Return,Open_Close_5d,Open_Close_15d,Open_Close_30d,Open_Close_60d,High_Low_5d,High_Low_15d,High_Low_30d,High_Low_60d,RSI_Normalized,OBV_Normalized,Close_^NSEI,NSEI_Daily_Return,Close
2014-04-01,-0.0025003976360079,-0.0430157386251404,0.0236456051417717,0.0323586784088469,0.1126593882150317,0.0741191712117446,0.0203418689655765,0.0274453827375742,0.1094038471980887,0.0666767925775777,0.4090951006387656,-0.4473564789020015,6721.0498046875,0.0025132915014651,
2014-04-02,0.0035128847490428,0.0251328437405824,0.0221759092980264,0.0353200300663831,0.1191217595161169,0.0890276422446791,0.0211272518273231,0.0329322741484676,0.1200980066154182,0.0882880900108515,0.4293193064710722,-0.445171927825357,6752.5498046875,0.0046867678287447,
2014-04-03,-0.0019699852284512,0.0424328884831388,0.0191099712800439,0.0379387450596997,0.1073706396318709,0.0882873910161334,0.0150827180639099,0.0337746494755737,0.1036286114054756,0.0870273530779648,0.3874016400020369,-0.4476615345053183,6736.10009765625,-0.002436073410348,
2014-04-04,-0.0081470823776542,0.0262324698188614,0.0050303494107604,0.0347597464939328,0.0937256128655561,0.0865305937109774,0.0060390890611703,0.029827958017722,0.0928610293970657,0.0857778227029213,0.2875012687644928,-0.4496166635993032,6694.35009765625,-0.0061979482778954,
2014-04-07,0.0120663936802247,0.099603357236135,-0.0028337901888318,0.0338069947976535,0.0958129161830749,0.0839212566161258,-0.001261897764296,0.0327692445274754,0.0949608886949975,0.0828256413260621,0.2881950900122551,-0.4479287732983066,6695.0498046875,0.0001045220254456,
2014-04-09,0.0004992167403565,0.0785570751317981,0.0050295632228671,0.0359488465982804,0.1022892830751198,0.0945866514413154,0.007913370384978,0.033749995564509,0.1015802048921303,0.0954500544672096,0.3735733176246091,-0.4457883418337119,6796.2001953125,0.0151082357227843,
2014-04-10,0.0021681252348355,0.0672612217096109,0.0066098307815227,0.0417801303429916,0.1032201040656308,0.1011432422233218,0.0081002966484793,0.0420894449262605,0.1033624842972285,0.0983665001050426,0.3737169866629123,-0.4433794110157847,6796.39990234375,2.9385101308232464e-05,
2014-04-11,-0.0056384885196459,0.0163649454018119,0.0019617786441208,0.0418120917114583,0.0909981179971988,0.0860475285029576,0.0043677918071787,0.0412098347821903,0.0919074016304448,0.0845304642263229,0.3255713672670616,-0.4451530194201927,6776.2998046875,-0.0029574624720535,
2014-04-15,0.0,0.092154798817849,0.0066685592916,0.039774290981744,0.0871737400155732,0.0818822587658221,0.0073098906936583,0.0397083314737738,0.0865275753250609,0.0807583125449478,0.2294227814708512,-0.4467060297643508,6733.10009765625,-0.0063751174352361,
2014-04-16,0.0006633376154687,-0.0225846716533344,0.0009895961845114,0.0235642129744539,0.0717409587888981,0.064805706010842,0.0028596955309152,0.0237978785443062,0.0721775978013372,0.0653905567441721,0.1193474879150633,-0.4482161810568034,6675.2998046875,-0.008584499284196,
