date,signal,entry_price,exit_price,trade_return,tp_hit,sl_hit,net_pnl,exit_type
2025-04-22,1,272.8900146484375,272.61712463378905,-0.0010000000000000584,False,True,-405.00000000001455,SL
2025-04-23,1,271.7799987792969,271.50821878051755,-0.0010000000000000954,False,True,-401.96250000002357,SL
2025-04-24,1,271.8500061035156,271.5781560974121,-0.0010000000000000685,False,True,-398.94778125001665,SL
2025-04-25,-1,269.8900146484375,268.27067456054687,0.006000000000000036,True,False,1311.8374672656323,TP
2025-04-28,1,273.8900146484375,273.61612463378907,-0.0009999999999999718,False,True,-405.79445389510977,SL
2025-04-29,-1,277.0899963378906,275.4274563598633,0.005999999999999934,True,False,1336.7536501332966,TP
2025-04-30,-1,274.0,272.356,0.00600000000000002,True,False,1373.5143755119834,TP
2025-05-02,-1,272.04998779296875,272.32203778076166,-0.0009999999999997895,False,True,-423.07800568318794,SL
2025-05-05,1,274.8999938964844,274.6250939025879,-0.0010000000000000464,False,True,-419.90492064063125,SL
2025-05-06,-1,271.8999938964844,270.2685939331055,0.0059999999999999646,True,False,1388.1039903646438,TP
2025-05-07,-1,273.70001220703125,272.05781213378907,0.00599999999999997,True,False,1426.2768500996726,TP
2025-05-08,-1,269.5,267.883,0.0060000000000000695,True,False,1465.4994634774407,TP
2025-05-09,-1,272.489990234375,272.76248022460936,-0.0009999999999999532,False,True,-448.85473601536455,SL
2025-05-12,1,278.75,280.4225,0.006000000000000049,True,False,1493.4571934826422,TP
2025-05-13,1,276.8999938964844,276.62309390258787,-0.0010000000000000805,False,True,-456.68925444640513,SL
2025-05-14,1,276.8999938964844,278.5613938598633,0.006000000000000072,True,False,1521.9683118061455,TP
2025-05-15,1,280.989990234375,280.7090002441406,-0.0010000000000000486,False,True,-464.6788473765944,SL
2025-05-16,1,280.04998779296875,279.7699378051758,-0.0009999999999999317,False,True,-461.1937560212362,SL
2025-05-19,-1,280.8900146484375,279.2046745605469,0.005999999999999942,True,False,1538.3609437873372,TP
2025-05-20,-1,276.8900146484375,277.1669046630859,-0.000999999999999921,False,True,-469.2725099294785,SL
2025-05-21,-1,277.8999938964844,276.2325939331055,0.005999999999999971,True,False,1567.7608757184366,TP
2025-05-22,-1,282.0,280.308,0.006000000000000026,True,False,1610.87429980071,TP
2025-05-23,-1,276.510009765625,276.7865197753906,-0.000999999999999967,False,True,-489.59272992141405,SL
2025-05-26,-1,279.8900146484375,278.21067456054686,0.006000000000000043,True,False,1641.7095429723954,TP
2025-05-27,-1,278.0,278.27799999999996,-0.0009999999999998675,False,True,-498.23360601926504,SL
2025-05-28,-1,278.7799987792969,277.1073187866211,0.006000000000000054,True,False,1673.15513123861,TP
2025-05-29,1,279.8900146484375,279.61012463378904,-0.0010000000000000748,False,True,-507.04551745847516,SL
2025-05-30,-1,276.0,276.27599999999995,-0.000999999999999832,False,True,-503.2426760774598,SL
2025-06-02,-1,278.0,276.332,0.006000000000000023,True,False,1691.383972025424,TP
2025-06-03,1,276.5,276.2235,-0.000999999999999995,False,True,-512.1537357971209,SL
2025-06-04,1,277.8999938964844,277.6220939025879,-0.000999999999999995,False,True,-508.31258277864265,SL
2025-06-05,1,278.8999938964844,280.5733938598633,0.006000000000000073,True,False,1709.8342074953057,TP
2025-06-06,1,281.04998779296875,282.7362877197266,0.006000000000000099,True,False,1756.8546482014353,TP
2025-06-09,1,282.20001220703125,281.9178121948242,-0.0010000000000000887,False,True,-530.5004048255596,SL
2025-06-10,1,281.75,281.46825,-0.000999999999999958,False,True,-526.5216517893242,SL
2025-06-11,1,282.0,281.718,-0.0009999999999999371,False,True,-522.5727394008976,SL
2025-06-12,-1,276.0,274.344,0.006000000000000022,True,False,1761.7292941365158,TP
2025-06-13,-1,279.3900146484375,277.71367456054685,0.006000000000000093,True,False,1810.176849725294,TP
2025-06-16,1,281.489990234375,281.2085002441406,-0.0010000000000000065,False,True,-545.4427399343773,SL
2025-06-17,1,279.8900146484375,279.61012463378904,-0.0010000000000000748,False,True,-541.3519193848927,SL
2025-06-18,1,278.5,278.2215,-0.0010000000000000293,False,True,-537.2917799894904,SL
2025-06-19,-1,276.510009765625,276.7865197753906,-0.000999999999999967,False,True,-533.2620916395482,SL
2025-06-20,1,280.8999938964844,280.6190939025879,-0.000999999999999945,False,True,-529.2626259522443,SL
2025-06-23,-1,283.8999938964844,282.1965939331055,0.005999999999999976,True,False,1786.0749062779346,TP
2025-06-24,1,282.0,283.692,0.006000000000000026,True,False,1835.1919662005948,TP
2025-06-25,1,283.3999938964844,285.1003938598633,0.006000000000000025,True,False,1885.659745271111,TP
2025-06-26,1,287.0,286.713,-0.0009999999999999224,False,True,-566.5951058907153,SL
2025-06-27,1,287.79998779296875,287.51218780517576,-0.001000000000000087,False,True,-562.3456425965937,SL
2025-06-30,1,287.8800048828125,287.5921248779297,-0.0010000000000000347,False,True,-558.1280502771006,SL
2025-07-01,1,287.8900146484375,287.60212463378906,-0.0010000000000000078,False,True,-553.9420899000128,SL
2025-07-02,1,286.8900146484375,286.60312463378904,-0.0010000000000000904,False,True,-549.7875242257912,SL
2025-07-03,1,287.8900146484375,287.60212463378906,-0.0010000000000000078,False,True,-545.6641177940693,SL
2025-07-04,1,287.7900085449219,287.502218536377,-0.0009999999999999337,False,True,-541.5716369105884,SL
2025-07-07,-1,285.8999938964844,286.18589389038084,-0.00099999999999993,False,True,-537.5098496337578,SL
2025-07-08,1,286.1099853515625,286.5,0.0013631633581689324,False,False,259.72281004150943,Close
2025-07-09,1,285.29998779296875,287.01178771972656,0.005999999999999976,True,False,1823.2303050684038,TP
2025-07-10,-1,285.3900146484375,283.67767456054685,0.0060000000000000955,True,False,1873.369138457826,TP
2025-07-11,-1,284.3900146484375,282.6836745605469,0.005999999999999995,True,False,1924.8867897653813,TP
2025-07-14,-1,283.489990234375,283.77348022460933,-0.0009999999999998396,False,True,-577.5875935864682,SL
2025-07-15,1,283.79998779296875,283.5161878051758,-0.0010000000000000208,False,True,-573.2556866346356,SL
2025-07-16,1,284.989990234375,284.70500024414065,-0.0009999999999999155,False,True,-568.956268984838,SL
2025-07-17,-1,283.5,281.799,0.006000000000000077,True,False,1930.526688880795,TP
2025-07-18,-1,282.7900085449219,281.0932684936523,0.006000000000000093,True,False,1983.6161728250236,TP
2025-07-21,1,283.8900146484375,283.6061246337891,-0.0009999999999999408,False,True,-594.0451684302534,SL
