TP_pct,SL_pct,Final_Equity,Total_Return,Annualized_Return,Sharpe,Max_Drawdown,Num_Trades,Win_Rate
0.006,0.0008,128398.51911505246,1.5679703823010493,7.042841253842797,8.01695280989558,-0.05402898211748371,114,0.456140350877189
0.006,0.00085,126404.27825961594,1.5280855651923186,6.7692984539551215,7.834133335955731,-0.055955652453904825,114,0.456140350877189
0.006,0.00075,130423.32879749325,1.608466575949865,7.3258888830289415,8.202369902049302,-0.052099048784902846,114,0.456140350877189
0.006,0.00082,127597.17999502103,1.5519435999004205,6.932301472957665,7.943516311681734,-0.05480004149107188,114,0.456140350877189
0.006,0.00078,129204.74917272336,1.584094983454467,7.154901687179997,8.090804911159053,-0.05325740066453227,114,0.456140350877189
0.0061,0.0008,127242.334441247,1.54484668882494,6.883620224911107,7.8446551849680395,-0.05399613720673584,114,0.4473684210526277
0.0061,0.00085,125234.58468614933,1.5046916937229868,6.611264590581967,7.663390130198215,-0.055922625256005415,114,0.4473684210526277
0.0061,0.00075,129281.37465634645,1.5856274931269292,7.165596299370902,8.02845960495609,-0.052066385082394646,114,0.4473684210526277
0.0061,0.00082,126435.50620828124,1.5287101241656247,6.773541953050273,7.771847336348999,-0.05476712379532007,114,0.4473684210526277
0.0061,0.00078,128054.16906873231,1.561083381374646,6.9952376414240565,7.917869316956812,-0.053224628366162874,114,0.4473684210526277
0.0062,0.0008,125954.73952130866,1.5190947904261733,6.708352169095922,7.670109803444199,-0.05396364786468053,114,0.4385964912280663
0.0062,0.00085,123935.84266738768,1.4787168533477537,6.437876796340507,7.49030876722367,-0.055889955626738395,114,0.4385964912280663
0.0062,0.00075,128005.61803916427,1.5601123607832852,6.9885382999311725,7.85239443927044,-0.052034074960748924,114,0.4385964912280663
0.0062,0.00082,125143.37054094239,1.5028674108188476,6.599015638534612,7.597894151775483,-0.05473456246677925,114,0.4385964912280663
0.0062,0.00078,126771.22548433795,1.535424509686759,6.819242289815558,7.7427228167318,-0.05319221083990588,114,0.4385964912280663
0.0058,0.0008,126273.97534612607,1.5254795069225215,6.751605562514797,8.099333597302534,-0.05398918956575894,114,0.46491228070175034
0.0058,0.00085,124345.29919787953,1.4869059839575907,6.492304914729911,7.912740151962281,-0.05591482588463646,114,0.46491228070175034
0.0058,0.00075,128231.7148663311,1.5646342973266218,7.019762588551103,8.288661847370294,-0.0520602799685109,114,0.46491228070175034
0.0058,0.00082,125499.04109731775,1.509980821946355,6.646838954249392,8.024371303353425,-0.05475983657116056,114,0.46491228070175034
0.0058,0.00078,127053.55966585639,1.5410711933171277,6.857789083013024,8.174733442235329,-0.05321801883584933,114,0.46491228070175034
0.0059,0.0008,125190.80196425634,1.5038160392851267,6.605383754411916,7.919369526275662,-0.054062186708291,114,0.456140350877189
0.0059,0.00085,123245.80389849891,1.4649160779699781,6.346642989129155,7.734482503276716,-0.0559890413554371,114,0.456140350877189
0.0059,0.00075,127165.61656393282,1.5433123312786563,6.8731168752165415,8.10692423778603,-0.05213207015615409,114,0.456140350877189
0.0059,0.00082,124409.24960907197,1.4881849921814392,6.500825320461182,7.84509772945364,-0.054833319674837296,114,0.456140350877189
0.0059,0.00078,125977.12489202034,1.5195424978404066,6.711380851466256,7.994068136442661,-0.053290531836968136,114,0.456140350877189
