datetime,close,high,low,open,volume,ret_1,ret_3,range,body_ratio,close_pos,range_exp_10,rv_10,high_30,low_30,range_pos_30,minutes_from_open,close_vix,high_vix,low_vix,open_vix,volume_vix,vix_ret_1,vix_ret_5,vix_mom_5,vix_range,vix_range_exp_10
2025-12-09 09:24:00+05:30,25826.30078125,25829.150390625,25818.900390625,25821.94921875,0,0.0001336390571396,-6.77580861140907e-05,10.25,0.4245426829268293,0.7219893292682927,0.5261838635611659,0.0005123631143586,25889.849609375,25801.150390625,0.2835469238560796,9,11.172499656677246,11.204999923706056,11.137499809265137,11.15250015258789,0,0.0017916693939728,-0.0044653069811454,-0.0650003433227546,0.0675001144409197,0.4122142472761426
2025-12-09 09:25:00+05:30,25821.25,25830.599609375,25820.650390625,25826.900390625,0,-0.0001955864775657,-0.0003174872341668,9.94921875,0.5679230467216333,0.0602669807616804,0.5719611057465586,0.0004833710527584,25889.849609375,25801.150390625,0.2266041308847492,10,11.170000076293944,11.170000076293944,11.135000228881836,11.149999618530272,0,-0.0002237511848364,-0.0179665774481469,-0.026999855041506,0.0349998474121076,0.3713511210857416
2025-12-09 09:26:00+05:30,25814.25,25824.849609375,25813.25,25822.69921875,0,-0.0002711312969906,-0.0003330787174166,11.599609375,0.7284054554638828,0.0862097996295672,0.7057970670025907,0.0004449055133358,25889.849609375,25801.150390625,0.1476857356762232,11,11.207500457763672,11.212499618530272,11.142499923706056,11.162500381469728,0,0.0033516179804981,-0.0093250711341825,0.0315004348754879,0.0699996948242152,0.7777738924404024
2025-12-09 09:27:00+05:30,25812.599609375,25822.900390625,25812.599609375,25814.0,0,-6.393536069121777e-05,-0.0005306531352475,10.30078125,0.1359499431171786,0.0,0.6575731883696574,0.0004449092904551,25889.849609375,25801.150390625,0.1290791385916237,12,11.204999923706056,11.234999656677246,11.175000190734863,11.22249984741211,0,-0.0002231374478911,0.0024572917949873,0.0234998703002951,0.0599994659423828,0.6997029426582587
2025-12-09 09:28:00+05:30,25798.5,25813.75,25797.650390625,25812.900390625,0,-0.0005463789701237,-0.0008814456278056,16.099609375,0.8944559019774354,0.0527720490112823,1.02611661604342,0.000467386375876,25889.849609375,25797.650390625,0.0092149303054696,13,11.25749969482422,11.262499809265137,11.197500228881836,11.202500343322754,0,0.004674445640955,0.0093708443826982,0.0549997329711935,0.0649995803833007,0.7449821342885061
2025-12-09 09:29:00+05:30,25798.80078125,25809.30078125,25797.849609375,25798.599609375,0,1.1658797861388935e-05,-0.0005986555329534,11.451171875,0.0175677980556029,0.0830632781852294,0.7779370007695777,0.0004456451059334,25889.849609375,25797.650390625,0.0124772274710841,14,11.229999542236328,11.262499809265137,11.207500457763672,11.25,0,-0.0024458180971457,0.0051333568915796,0.015999603271485,0.0549993515014648,0.6489614770903818
2025-12-09 09:30:00+05:30,25774.94921875,25802.25,25774.94921875,25800.099609375,0,-0.0009249497738861,-0.0014596699461484,27.30078125,0.92123336671913,0.0,1.7579294212339966,0.0004906815342316,25889.849609375,25774.94921875,0.0,15,11.3125,11.3125,11.21500015258789,11.229999542236328,0,0.0073195810382644,0.0126766891146805,0.0700000762939456,0.0974998474121093,1.2580662627177488
2025-12-09 09:31:00+05:30,25768.599609375,25776.349609375,25761.150390625,25776.349609375,0,-0.0002463784334405,-0.0011596694094652,15.19921875,0.5098946286301722,0.4901053713698278,1.0978035464894833,0.000313721802013,25889.849609375,25761.150390625,0.0578808389231189,16,11.454999923706056,11.482500076293944,11.292499542236328,11.317500114440918,0,0.0125180002190961,0.0218430713532788,0.1630001068115252,0.1900005340576154,2.215754399701036
2025-12-09 09:32:00+05:30,25761.94921875,25769.69921875,25758.849609375,25769.05078125,0,-0.0002581144898768,-0.0014294426972035,10.849609375,0.6545454545454545,0.2856885688568857,0.7974676275517528,0.0002973618683969,25889.849609375,25758.849609375,0.0236611402671755,17,11.505000114440918,11.512499809265137,11.449999809265137,11.449999809265137,0,0.0043554241892478,0.0264216329904177,0.1530002593994144,0.0625,0.8223702372646611
2025-12-09 09:33:00+05:30,25763.900390625,25768.55078125,25760.650390625,25761.400390625,0,7.573565077425518e-05,-0.000428757272543,7.900390625,0.3164400494437577,0.411372064276885,0.6035421733486519,0.0003159902403842,25889.849609375,25758.849609375,0.0385555820610687,18,11.50749969482422,11.520000457763672,11.477499961853027,11.5,0,0.0002172367551417,0.0219644241046045,0.1054998397827144,0.0425004959106445,0.5704772730763955
2025-12-09 09:34:00+05:30,25774.599609375,25779.150390625,25762.94921875,25764.75,0,0.0004151932595516,0.000232814420449,16.201171875,0.6079566003616637,0.7191078963230862,1.1838499743106696,0.0003611620714602,25889.849609375,25758.849609375,0.1202290076335877,19,11.460000038146973,11.50749969482422,11.44499969482422,11.49250030517578,0,-0.0041362555742306,0.0202739866275197,0.012000083923338,0.0625,0.844595944300184
2025-12-09 09:35:00+05:30,25766.44921875,25773.650390625,25763.19921875,25772.55078125,0,-0.0003162679409228,0.0001746609694029,10.451171875,0.5838161091384788,0.3109699121659502,0.7608958407394241,0.0003629953948363,25889.849609375,25758.849609375,0.0580122853053435,20,11.477499961853027,11.487500190734863,11.457500457763672,11.460000038146973,0,0.0015258792023095,0.0144802847915646,-0.0034999847412127,0.0299997329711914,0.4081603525097927
2025-12-09 09:36:00+05:30,25760.349609375,25768.099609375,25758.400390625,25766.0,0,-0.000236754836016,-0.0001378295173872,9.69921875,0.5825614176399516,0.2009665726943214,0.716057215365094,0.0003625404862811,25889.849609375,25758.400390625,0.0148286826543044,21,11.517499923706056,11.517499923706056,11.470000267028809,11.477499961853027,0,0.0034790173861499,0.0054413019586184,0.0239999771118188,0.0474996566772478,0.6666630973526201
2025-12-09 09:37:00+05:30,25764.400390625,25764.400390625,25757.150390625,25759.55078125,0,0.0001572363284962,-0.0003957864484424,7.25,0.6689116379310345,1.0,0.5475733884053695,0.0003787585777735,25889.849609375,25757.150390625,0.0546348355950663,22,11.542499542236328,11.545000076293944,11.510000228881836,11.524999618530272,0,0.002168224536276,0.0032541023056466,0.0414997100830074,0.0349998474121076,0.5090893958204487
2025-12-09 09:38:00+05:30,25762.30078125,25765.099609375,25755.55078125,25763.69921875,0,-8.149597503476176e-05,-0.0001610144825544,9.548828125,0.146451217017795,0.7068930251585192,0.7587373517909243,0.0003576773372384,25889.849609375,25755.55078125,0.0502610491412283,23,11.582500457763672,11.587499618530272,11.520000457763672,11.545000076293944,0,0.0034595420906395,0.0064964076411445,0.0665004730224616,0.0674991607665997,0.978250653751935
2025-12-09 09:39:00+05:30,25764.69921875,25769.400390625,25760.849609375,25763.650390625,0,9.309439717950969e-05,0.000168834750641,8.55078125,0.122658748286889,0.4502055733211512,0.6954615494591031,0.0003624200319523,25889.849609375,25755.55078125,0.0681200098893268,24,11.595000267028809,11.602499961853027,11.567500114440918,11.577500343322754,0,0.0010786159064712,0.0117112791218465,0.0520002365112297,0.0349998474121093,0.5223864663473542
2025-12-09 09:40:00+05:30,25761.44921875,25765.69921875,25757.5,25764.0,0,-0.0001261495416546,-0.0001145511195098,8.19921875,0.3111005240590757,0.4816579323487375,0.7895281262342254,0.0002333387762929,25889.849609375,25755.55078125,0.0439202454879946,25,11.600000381469728,11.607500076293944,11.585000038146973,11.59749984741211,0,0.0004311372604935,0.0106165371800305,0.0325002670288103,0.0225000381469708,0.3781523380274201
2025-12-09 09:41:00+05:30,25768.5,25771.75,25759.400390625,25762.099609375,0,0.0002736576069217,0.0002406024624464,12.349609375,0.5182666455796299,0.7368337814328642,1.2227336014851486,0.0002430488763076,25889.849609375,25755.55078125,0.0964209362865577,26,11.572500228881836,11.600000381469728,11.5649995803833,11.59000015258789,0,-0.002373517296271,0.0047640024976094,-0.0059999465942386,0.0350008010864275,0.7954735105869223
2025-12-09 09:42:00+05:30,25768.30078125,25769.599609375,25761.400390625,25769.599609375,0,-7.731125990822822e-06,0.0001397769392764,8.19921875,0.1584087660790852,0.8415912339209147,0.8336808658524476,0.0002258357016884,25889.849609375,25755.55078125,0.0949375372667645,27,11.574999809265137,11.600000381469728,11.557499885559082,11.572500228881836,0,0.0002159697927548,0.0028117477540885,-0.0100004196166985,0.0425004959106463,1.0119163854842137
2025-12-09 09:43:00+05:30,25767.849609375,25773.099609375,25767.25,25768.0,0,-1.7508947470550597e-05,0.0002484175334605,5.849609375,0.0257095158597662,0.1025041736227045,0.6074434641517088,0.000225416746747,25889.849609375,25755.55078125,0.0915780747807623,28,11.49250030517578,11.59749984741211,11.479999542236328,11.577500343322754,0,-0.0071529082415356,-0.0078007025780867,-0.074499893188479,0.1175003051757812,2.3737440876995253
2025-12-09 09:44:00+05:30,25758.900390625,25768.75,25758.849609375,25768.55078125,0,-0.0003473620533018,-0.0003726021267631,9.900390625,0.974748471098836,0.0051292168080489,1.1000672757655332,0.0002029822495316,25889.849609375,25755.55078125,0.0249414639112287,29,11.682499885559082,11.770000457763672,11.475000381469728,11.4975004196167,0,0.016397310543929,0.0075179920593709,0.0979997634887688,0.2950000762939435,4.054984079209359
2025-12-09 09:45:00+05:30,25759.05078125,25766.599609375,25754.150390625,25760.099609375,0,5.838377558860592e-06,-0.0003590326232135,12.44921875,0.0842485095701286,0.3936303733919046,1.353233408347841,0.000182482965057,25861.150390625,25754.150390625,0.045798043224299,30,11.720000267028809,11.729999542236328,11.677499771118164,11.682499885559082,0,0.0032048211363772,0.0102916759352544,0.11150016784668,0.052499771118164,0.6999969482421892
2025-12-09 09:46:00+05:30,25759.650390625,25764.650390625,25758.55078125,25761.0,0,2.327734827882945e-05,-0.000318246327464,6.099609375,0.2212616074287544,0.1802753762407941,0.6900285026182639,0.0001674523448683,25849.900390625,25754.150390625,0.0574412532637075,31,11.717499732971191,11.744999885559082,11.707500457763672,11.727499961853027,0,-0.0002133789070596,0.012451814324466,0.0799997329711921,0.0374994277954101,0.5067491809997112
2025-12-09 09:47:00+05:30,25755.75,25759.849609375,25744.900390625,25759.849609375,0,-0.0001514261988794,-0.0001223104730417,14.94921875,0.2742356937548994,0.7257643062451006,1.5556594378163044,0.0001630835926872,25847.400390625,25744.900390625,0.1058498475609756,32,11.7475004196167,11.779999732971191,11.675000190734863,11.717499732971191,0,0.0025570596886578,0.0147929042203689,0.0755002975463874,0.1049995422363281,1.2962914995773247
