Model,RMSE_Validation,RMSE_Test
XGBoost,0.006295979529930321,0.006589053655492981
LightGBM,0.0065409192559542275,0.007073778073575318
CatBoost,0.00633166833893442,0.0062421118283256
RandomForest,0.006458272157897957,0.006837520828988395
ARIMAX,0.007340210519599124,0.005653732007982415
MetaNet,0.004075701346586457,0.003580576667040769
