Datetime,close,high,low,open,volume,vix_ret_1,vix_ret_5,vix_mom_5,vix_range,vix_range_exp_10
2026-01-12 09:20:00+05:30,11.667499542236328,11.682499885559082,11.640000343322754,11.65999984741211,0,0.0010719100311235488,0.012288603824363191,0.04699974060058665,0.042499542236328125,0.19465447127837598
2026-01-12 09:21:00+05:30,11.737500190734863,11.75749969482422,11.675000190734863,11.675000190734863,0,0.005981701176673627,0.01631992719314885,0.07900028228759837,0.08249950408935725,0.4147195373597576
2026-01-12 09:22:00+05:30,11.75,11.760000228881836,11.717499732971191,11.732500076293944,0,0.0010643798057452542,0.013494926341307419,0.0600000381469723,0.04250049591064453,0.2369366507477211
2026-01-12 09:23:00+05:30,11.744999885559082,11.767499923706056,11.732500076293944,11.75,0,-0.0004256322230908048,0.008980136568703952,0.03400001525878871,0.03499984741211293,0.21428488016786823
2026-01-12 09:24:00+05:30,11.795000076293944,11.797499656677246,11.739999771118164,11.75,0,0.00424811096089051,0.011940469751342013,0.05600013732910014,0.05749988555908203,0.37643152677250796
2026-01-12 09:25:00+05:30,11.8125,11.8125,11.772500038146973,11.795000076293944,0,0.0014825734918936073,0.012351133212111932,0.04449996948242152,0.039999961853027344,0.7207208755255908
2026-01-12 09:26:00+05:30,11.8125,11.81999969482422,11.802499771118164,11.8149995803833,0,0.0,0.00636943203543834,0.02950000762939453,0.017499923706056464,0.3465337185806596
2026-01-12 09:27:00+05:30,11.899999618530272,11.899999618530272,11.807499885559082,11.8125,0,0.007380075241342403,0.012685127471035503,0.08699970245361222,0.09249973297118963,1.7050656409751075
2026-01-12 09:28:00+05:30,11.925000190734863,11.927499771118164,11.8774995803833,11.899999618530272,0,0.002098684707739082,0.015209444401865476,0.07600021362304865,0.05000019073486328,0.9708786406328601
2026-01-12 09:29:00+05:30,11.9375,11.9375,11.904999732971191,11.925000190734863,0,0.0010476530379061463,0.012008986478881007,0.0600000381469723,0.032500267028808594,0.6599047679905743
2026-01-12 09:30:00+05:30,11.835000038146973,11.94499969482422,11.827500343322754,11.9375,0,-0.008623459617667523,0.0019029533693200006,-0.04699993133544922,0.11749935150146662,2.070476216083599
2026-01-12 09:31:00+05:30,11.835000038146973,11.842499732971191,11.779999732971191,11.835000038146973,0,0.0,0.0019029533693200006,-0.051499938964843395,0.0625,1.141553227253318
2026-01-12 09:32:00+05:30,11.887499809265137,11.897500038146973,11.829999923706056,11.835000038146973,0,0.004426165637333649,-0.001050956234688693,0.003499794006348367,0.06750011444091619,1.1790427929615863
2026-01-12 09:33:00+05:30,11.864999771118164,11.892499923706056,11.854999542236328,11.887499809265137,0,-0.0018945412292926292,-0.00504418217172035,-0.007000160217284446,0.03750038146972834,0.6521807636363322
2026-01-12 09:34:00+05:30,11.850000381469728,11.875,11.837499618530272,11.864999771118164,0,-0.0012649708245442883,-0.007356806034170745,-0.004499626159665482,0.03750038146972834,0.6756821774692696
2026-01-12 09:35:00+05:30,11.817500114440918,11.857500076293944,11.800000190734863,11.850000381469728,0,-0.0027464064034026423,-0.0014797528199058127,-0.033499908447264914,0.057499885559080255,1.0043644117205768
2026-01-12 09:36:00+05:30,11.852499961853027,11.859999656677246,11.807499885559082,11.817500114440918,0,0.0029573192063863246,0.0014775663864803352,-0.002000045776366477,0.05249977111816406,0.864193654730695
2026-01-12 09:37:00+05:30,11.797499656677246,11.852499961853027,11.792499542236328,11.852499961853027,0,-0.004651197058570553,-0.007599796309423835,-0.03900032043457102,0.06000041961669922,1.0434841740030352
2026-01-12 09:38:00+05:30,11.77750015258789,11.81999969482422,11.77750015258789,11.797499656677246,0,-0.001696670969150692,-0.007401926049282006,-0.041499900817871804,0.0424995422363299,0.7488904610741577
2026-01-12 09:39:00+05:30,11.772500038146973,11.8149995803833,11.772500038146973,11.772500038146973,0,-0.0004246381720216457,-0.0065615933967593755,-0.030999946594238992,0.042499542236328125,0.7359235870742682
