Datetime,Close,High,Low,Open,Volume
2025-10-07 09:15:00+05:30,25122.44921875,25134.80078125,25087.55078125,25087.55078125,0
2025-10-07 09:16:00+05:30,25130.19921875,25132.849609375,25117.75,25120.44921875,0
2025-10-07 09:17:00+05:30,25097.75,25131.30078125,25097.75,25130.599609375,0
2025-10-07 09:18:00+05:30,25090.650390625,25100.0,25085.69921875,25099.44921875,0
2025-10-07 09:19:00+05:30,25084.900390625,25090.849609375,25083.5,25090.849609375,0
2025-10-07 09:20:00+05:30,25083.599609375,25097.69921875,25077.099609375,25083.69921875,0
2025-10-07 09:21:00+05:30,25107.5,25108.44921875,25082.5,25083.900390625,0
2025-10-07 09:22:00+05:30,25115.69921875,25117.349609375,25105.400390625,25106.25,0
2025-10-07 09:23:00+05:30,25115.80078125,25120.599609375,25112.69921875,25115.400390625,0
2025-10-07 09:24:00+05:30,25111.150390625,25114.69921875,25104.30078125,25113.849609375,0
2025-10-07 09:25:00+05:30,25115.44921875,25115.44921875,25104.44921875,25110.599609375,0
2025-10-07 09:26:00+05:30,25105.5,25117.75,25104.94921875,25114.5,0
2025-10-07 09:27:00+05:30,25101.599609375,25108.0,25094.900390625,25107.900390625,0
2025-10-07 09:28:00+05:30,25108.30078125,25109.69921875,25100.5,25101.69921875,0
2025-10-07 09:29:00+05:30,25119.05078125,25120.94921875,25108.80078125,25108.80078125,0
2025-10-07 09:30:00+05:30,25111.650390625,25124.19921875,25110.05078125,25119.900390625,0
2025-10-07 09:31:00+05:30,25119.25,25119.80078125,25106.400390625,25111.25,0
2025-10-07 09:32:00+05:30,25117.25,25123.150390625,25116.25,25119.19921875,0
2025-10-07 09:33:00+05:30,25121.099609375,25121.400390625,25112.05078125,25117.150390625,0
2025-10-07 09:34:00+05:30,25118.55078125,25122.5,25116.5,25120.5,0
2025-10-07 09:35:00+05:30,25118.5,25120.80078125,25114.400390625,25117.900390625,0
2025-10-07 09:36:00+05:30,25120.150390625,25121.0,25114.150390625,25118.599609375,0
2025-10-07 09:37:00+05:30,25129.099609375,25129.5,25118.099609375,25121.19921875,0
2025-10-07 09:38:00+05:30,25129.05078125,25134.44921875,25127.599609375,25128.19921875,0
2025-10-07 09:39:00+05:30,25133.099609375,25133.400390625,25128.599609375,25128.599609375,0
2025-10-07 09:40:00+05:30,25141.05078125,25141.599609375,25131.599609375,25131.599609375,0
2025-10-07 09:41:00+05:30,25139.69921875,25143.099609375,25137.150390625,25141.400390625,0
2025-10-07 09:42:00+05:30,25135.19921875,25142.80078125,25134.44921875,25140.099609375,0
2025-10-07 09:43:00+05:30,25139.44921875,25139.94921875,25133.94921875,25135.400390625,0
2025-10-07 09:44:00+05:30,25146.05078125,25147.80078125,25138.650390625,25139.349609375,0
2025-10-07 09:45:00+05:30,25145.69921875,25149.75,25144.150390625,25146.5,0
2025-10-07 09:46:00+05:30,25147.900390625,25147.94921875,25142.5,25144.400390625,0
2025-10-07 09:47:00+05:30,25154.44921875,25155.44921875,25144.94921875,25146.25,0
2025-10-07 09:48:00+05:30,25163.650390625,25166.849609375,25156.05078125,25156.05078125,0
2025-10-07 09:49:00+05:30,25161.05078125,25166.599609375,25160.25,25163.599609375,0
2025-10-07 09:50:00+05:30,25163.30078125,25164.69921875,25159.349609375,25160.400390625,0
2025-10-07 09:51:00+05:30,25182.55078125,25185.25,25163.80078125,25163.80078125,0
2025-10-07 09:52:00+05:30,25173.849609375,25182.75,25171.400390625,25182.599609375,0
2025-10-07 09:53:00+05:30,25178.400390625,25178.400390625,25171.44921875,25173.75,0
2025-10-07 09:54:00+05:30,25178.25,25180.55078125,25175.19921875,25178.0,0
2025-10-07 09:55:00+05:30,25192.900390625,25193.80078125,25176.30078125,25178.69921875,0
2025-10-07 09:56:00+05:30,25189.75,25193.25,25187.44921875,25192.650390625,0
2025-10-07 09:57:00+05:30,25192.80078125,25195.099609375,25188.69921875,25190.150390625,0
2025-10-07 09:58:00+05:30,25178.55078125,25192.849609375,25178.05078125,25191.30078125,0
2025-10-07 09:59:00+05:30,25180.75,25184.599609375,25178.75,25178.75,0
2025-10-07 10:00:00+05:30,25189.650390625,25190.349609375,25179.150390625,25181.349609375,0
2025-10-07 10:01:00+05:30,25189.30078125,25190.5,25185.650390625,25189.80078125,0
2025-10-07 10:02:00+05:30,25195.150390625,25196.5,25188.75,25189.599609375,0
2025-10-07 10:03:00+05:30,25196.099609375,25196.30078125,25188.650390625,25194.69921875,0
2025-10-07 10:04:00+05:30,25199.900390625,25201.94921875,25190.400390625,25195.75,0
2025-10-07 10:05:00+05:30,25191.849609375,25199.400390625,25190.650390625,25198.69921875,0
2025-10-07 10:06:00+05:30,25189.55078125,25195.30078125,25183.900390625,25193.099609375,0
2025-10-07 10:07:00+05:30,25189.25,25192.94921875,25184.5,25190.849609375,0
2025-10-07 10:08:00+05:30,25188.75,25195.30078125,25187.94921875,25188.849609375,0
2025-10-07 10:09:00+05:30,25185.75,25190.69921875,25185.05078125,25187.75,0
2025-10-07 10:10:00+05:30,25191.599609375,25192.55078125,25184.05078125,25187.69921875,0
2025-10-07 10:11:00+05:30,25185.19921875,25191.849609375,25182.599609375,25191.599609375,0
2025-10-07 10:12:00+05:30,25189.44921875,25194.55078125,25184.19921875,25184.19921875,0
2025-10-07 10:13:00+05:30,25190.30078125,25194.75,25187.0,25189.0,0
2025-10-07 10:14:00+05:30,25183.650390625,25190.44921875,25179.30078125,25189.650390625,0
2025-10-07 10:15:00+05:30,25189.0,25191.599609375,25184.19921875,25185.150390625,0
2025-10-07 10:16:00+05:30,25181.19921875,25189.0,25177.44921875,25187.30078125,0
2025-10-07 10:17:00+05:30,25178.849609375,25186.19921875,25175.30078125,25181.05078125,0
2025-10-07 10:18:00+05:30,25183.19921875,25185.44921875,25174.55078125,25178.599609375,0
2025-10-07 10:19:00+05:30,25180.69921875,25185.44921875,25179.80078125,25183.5,0
2025-10-07 10:20:00+05:30,25185.30078125,25187.75,25178.80078125,25180.349609375,0
2025-10-07 10:21:00+05:30,25183.44921875,25189.44921875,25181.349609375,25186.0,0
2025-10-07 10:22:00+05:30,25183.0,25183.099609375,25178.75,25182.19921875,0
2025-10-07 10:23:00+05:30,25176.849609375,25184.0,25172.30078125,25182.400390625,0
2025-10-07 10:24:00+05:30,25173.19921875,25178.69921875,25170.0,25176.599609375,0
