Price,Close,High,Low,Open,Volume
Ticker,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
Datetime,,,,,
2025-09-09 09:15:00+05:30,280.70001220703125,281.1400146484375,280.510009765625,281.1400146484375,0
2025-09-09 09:16:00+05:30,280.5,280.69000244140625,280.5,280.69000244140625,9891
2025-09-09 09:17:00+05:30,280.45001220703125,280.5400085449219,280.29998779296875,280.5,16067
2025-09-09 09:18:00+05:30,280.4800109863281,280.5199890136719,280.4800109863281,280.5199890136719,12479
2025-09-09 09:19:00+05:30,280.239990234375,280.4800109863281,280.239990234375,280.4800109863281,14405
2025-09-09 09:20:00+05:30,280.6000061035156,280.6099853515625,280.30999755859375,280.3500061035156,28792
2025-09-09 09:21:00+05:30,280.75,280.75,280.6000061035156,280.6000061035156,35507
2025-09-09 09:22:00+05:30,280.79998779296875,280.79998779296875,280.70001220703125,280.70001220703125,8863
2025-09-09 09:23:00+05:30,280.70001220703125,280.7900085449219,280.6000061035156,280.7900085449219,24962
2025-09-09 09:24:00+05:30,280.6300048828125,280.6700134277344,280.5400085449219,280.6000061035156,7844
2025-09-09 09:25:00+05:30,280.5799865722656,280.6000061035156,280.45001220703125,280.54998779296875,15627
2025-09-09 09:26:00+05:30,280.5,280.57000732421875,280.5,280.57000732421875,24731
2025-09-09 09:27:00+05:30,280.5899963378906,280.5899963378906,280.4599914550781,280.4599914550781,32805
2025-09-09 09:28:00+05:30,280.54998779296875,280.57000732421875,280.5,280.57000732421875,24184
2025-09-09 09:29:00+05:30,280.6600036621094,280.6700134277344,280.5,280.6000061035156,25309
2025-09-09 09:30:00+05:30,280.7300109863281,280.760009765625,280.6700134277344,280.6700134277344,28409
2025-09-09 09:31:00+05:30,280.69000244140625,280.7300109863281,280.6099853515625,280.7300109863281,5490
2025-09-09 09:32:00+05:30,280.7200012207031,280.7200012207031,280.69000244140625,280.69000244140625,11541
2025-09-09 09:33:00+05:30,280.6700134277344,280.7200012207031,280.6700134277344,280.7200012207031,10132
2025-09-09 09:34:00+05:30,280.5,280.6199951171875,280.3599853515625,280.6199951171875,13165
2025-09-09 09:35:00+05:30,280.5,280.5,280.5,280.5,3048
2025-09-09 09:36:00+05:30,280.6199951171875,280.6199951171875,280.3999938964844,280.4200134277344,8333
2025-09-09 09:37:00+05:30,280.6499938964844,280.6499938964844,280.6000061035156,280.6199951171875,4344
2025-09-09 09:38:00+05:30,280.6499938964844,280.6499938964844,280.6000061035156,280.6000061035156,3846
2025-09-09 09:39:00+05:30,280.6300048828125,280.6499938964844,280.6300048828125,280.6400146484375,5698
2025-09-09 09:40:00+05:30,280.55999755859375,280.6400146484375,280.44000244140625,280.6400146484375,5364
2025-09-09 09:41:00+05:30,280.4700012207031,280.54998779296875,280.42999267578125,280.54998779296875,5802
2025-09-09 09:42:00+05:30,280.6000061035156,280.6400146484375,280.489990234375,280.489990234375,11081
2025-09-09 09:43:00+05:30,280.6199951171875,280.6499938964844,280.6199951171875,280.6199951171875,8025
2025-09-09 09:44:00+05:30,280.739990234375,280.739990234375,280.6400146484375,280.6400146484375,19610
2025-09-09 09:45:00+05:30,280.75,280.760009765625,280.6300048828125,280.69000244140625,43633
2025-09-09 09:46:00+05:30,280.75,280.75,280.70001220703125,280.75,3162
2025-09-09 09:47:00+05:30,280.739990234375,280.75,280.6199951171875,280.6199951171875,2387
2025-09-09 09:48:00+05:30,280.69000244140625,280.69000244140625,280.6000061035156,280.6300048828125,3742
2025-09-09 09:49:00+05:30,280.7200012207031,280.75,280.6300048828125,280.69000244140625,2240
2025-09-09 09:50:00+05:30,280.70001220703125,280.70001220703125,280.6199951171875,280.6300048828125,6214
