iter	RMSE
0	0.01011493412
1	0.009810974497
2	0.009628122905
3	0.009393413504
4	0.00919464729
5	0.009018141461
6	0.008866653284
7	0.008716121491
8	0.008596418755
9	0.008480906163
10	0.008393511147
11	0.008279812672
12	0.008179795495
13	0.008104257992
14	0.008030870328
15	0.007928839497
16	0.007874576719
17	0.007819818821
18	0.007757375362
19	0.007682125003
20	0.00764774633
21	0.007600589256
22	0.007572865335
23	0.0075242146
24	0.007484468777
25	0.007445678612
26	0.007401740808
27	0.007360722631
28	0.007328622368
29	0.007289869342
30	0.007257361063
31	0.007229605401
32	0.007212258237
33	0.007184477509
34	0.007147999445
35	0.007120142973
36	0.007100534523
37	0.007062803872
38	0.007032794733
39	0.007005493577
40	0.006974850355
41	0.006948342402
42	0.006935599233
43	0.006895085307
44	0.00687204232
45	0.006861221474
46	0.006841607323
47	0.006818645452
48	0.006802574543
49	0.006783694645
50	0.006760134755
51	0.006735592371
52	0.006710898794
53	0.006683690389
54	0.006666667785
55	0.006634771438
56	0.006628644783
57	0.006610100702
58	0.006582273086
59	0.006571387591
60	0.006561170139
61	0.006544495384
62	0.006528825375
63	0.006516044923
64	0.006500123185
65	0.006485241936
66	0.006474186561
67	0.006458542699
68	0.006440043722
69	0.006427703615
70	0.006415804267
71	0.006403570998
72	0.006386895776
73	0.00637787921
74	0.006371582897
75	0.006360191638
76	0.006349291555
77	0.00633359911
78	0.006318360229
79	0.006302205443
80	0.0062858501
81	0.006272345435
82	0.00625921925
83	0.006242197158
84	0.006229155427
85	0.006217598203
86	0.006203936017
87	0.006192265373
88	0.006182042667
89	0.006170935192
90	0.006152796416
91	0.006141974727
92	0.006129135561
93	0.006112874921
94	0.006096586213
95	0.006079710407
96	0.006064834893
97	0.006054050935
98	0.006044106262
99	0.006029912307
100	0.006016109291
101	0.005998813787
102	0.005987741915
103	0.005973764502
104	0.005962530955
105	0.005950352311
106	0.005935199258
107	0.005920883251
108	0.005909499976
109	0.005897084463
110	0.00588276507
111	0.005868959595
112	0.005852074394
113	0.005839168293
114	0.005825984866
115	0.005810602987
116	0.005799498338
117	0.005786045177
118	0.005773685021
119	0.005758255734
120	0.005746330754
121	0.005734681989
122	0.005723807303
123	0.005710243072
124	0.005697913738
125	0.005685262023
126	0.005677220956
127	0.005667447631
128	0.005656514205
129	0.005644689138
130	0.005632023543
131	0.00561994241
132	0.005609191516
133	0.005598511416
134	0.005583841331
135	0.005570035223
136	0.005558164339
137	0.005546268795
138	0.005535370453
139	0.005525096827
140	0.005515797122
141	0.005507195299
142	0.00549956845
143	0.005487734304
144	0.005477995212
145	0.005468841769
146	0.00545910658
147	0.005451034255
148	0.005443716222
149	0.005433067042
