Price,Close,High,Low,Open,Volume
Ticker,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
Datetime,,,,,
2025-09-11 09:15:00+05:30,281.8500061035156,281.9800109863281,281.8399963378906,281.8399963378906,0
2025-09-11 09:16:00+05:30,281.95001220703125,281.9700012207031,281.8500061035156,281.9700012207031,9176
2025-09-11 09:17:00+05:30,281.9700012207031,281.9700012207031,281.95001220703125,281.95001220703125,13698
2025-09-11 09:18:00+05:30,282.1199951171875,282.1199951171875,281.9599914550781,281.9800109863281,20074
2025-09-11 09:19:00+05:30,282.1199951171875,282.1600036621094,282.1000061035156,282.1000061035156,19242
2025-09-11 09:20:00+05:30,282.20001220703125,282.25,282.20001220703125,282.25,21682
2025-09-11 09:21:00+05:30,282.19000244140625,282.2300109863281,282.19000244140625,282.20001220703125,10918
2025-09-11 09:22:00+05:30,282.17999267578125,282.19000244140625,282.1499938964844,282.19000244140625,5284
2025-09-11 09:23:00+05:30,282.17999267578125,282.17999267578125,282.1499938964844,282.17999267578125,10515
2025-09-11 09:24:00+05:30,282.17999267578125,282.20001220703125,282.1600036621094,282.1600036621094,13380
2025-09-11 09:25:00+05:30,282.1600036621094,282.17999267578125,282.1499938964844,282.17999267578125,4228
2025-09-11 09:26:00+05:30,282.1400146484375,282.17999267578125,282.1000061035156,282.17999267578125,2354
2025-09-11 09:27:00+05:30,282.1400146484375,282.1499938964844,282.1099853515625,282.1499938964844,2815
2025-09-11 09:28:00+05:30,282.1300048828125,282.1400146484375,282.1099853515625,282.1400146484375,2597
2025-09-11 09:29:00+05:30,282.1099853515625,282.1300048828125,282.1000061035156,282.1300048828125,23062
2025-09-11 09:30:00+05:30,282.0,282.1099853515625,281.8500061035156,282.1099853515625,100762
2025-09-11 09:31:00+05:30,281.95001220703125,282.0,281.92999267578125,282.0,4420
2025-09-11 09:32:00+05:30,281.9800109863281,282.0,281.95001220703125,281.95001220703125,16364
2025-09-11 09:33:00+05:30,282.0,282.0,282.0,282.0,6701
2025-09-11 09:34:00+05:30,282.0,282.0,281.989990234375,282.0,6845
2025-09-11 09:35:00+05:30,282.0,282.0,281.989990234375,282.0,7356
2025-09-11 09:36:00+05:30,281.989990234375,281.989990234375,281.94000244140625,281.94000244140625,1540
2025-09-11 09:37:00+05:30,281.95001220703125,281.9800109863281,281.95001220703125,281.9700012207031,4119
2025-09-11 09:38:00+05:30,281.9800109863281,281.9800109863281,281.95001220703125,281.95001220703125,10588
2025-09-11 09:39:00+05:30,281.9800109863281,281.9800109863281,281.9800109863281,281.9800109863281,2075
2025-09-11 09:40:00+05:30,281.9700012207031,281.9800109863281,281.9599914550781,281.9800109863281,4097
2025-09-11 09:41:00+05:30,281.80999755859375,281.94000244140625,281.80999755859375,281.8299865722656,7807
2025-09-11 09:42:00+05:30,281.8500061035156,281.8999938964844,281.760009765625,281.8900146484375,11600
2025-09-11 09:43:00+05:30,281.8900146484375,281.8999938964844,281.8699951171875,281.8999938964844,14050
2025-09-11 09:44:00+05:30,281.8900146484375,281.8900146484375,281.8800048828125,281.8900146484375,3840
2025-09-11 09:45:00+05:30,281.8900146484375,282.0,281.8900146484375,281.8999938964844,16227
2025-09-11 09:46:00+05:30,281.8900146484375,281.989990234375,281.8900146484375,281.989990234375,4931
2025-09-11 09:47:00+05:30,281.9100036621094,281.92999267578125,281.9100036621094,281.9100036621094,3213
2025-09-11 09:48:00+05:30,281.9100036621094,281.9100036621094,281.8900146484375,281.9100036621094,2542
2025-09-11 09:49:00+05:30,281.9100036621094,281.9100036621094,281.8399963378906,281.9100036621094,2359
