Datetime,Close,High,Low,Open,Volume
2026-02-11 09:15:00+05:30,25976.05078125,26000.650390625,25949.099609375,26000.650390625,0
2026-02-11 09:16:00+05:30,25983.25,25985.05078125,25971.900390625,25976.849609375,0
2026-02-11 09:17:00+05:30,25994.44921875,25998.44921875,25981.099609375,25981.099609375,0
2026-02-11 09:18:00+05:30,25994.599609375,25999.900390625,25988.599609375,25996.80078125,0
2026-02-11 09:19:00+05:30,25985.0,25994.94921875,25982.05078125,25994.650390625,0
2026-02-11 09:20:00+05:30,25977.849609375,25988.599609375,25975.80078125,25984.94921875,0
2026-02-11 09:21:00+05:30,25989.19921875,25990.30078125,25978.900390625,25978.900390625,0
2026-02-11 09:22:00+05:30,25987.55078125,25993.19921875,25986.19921875,25989.400390625,0
2026-02-11 09:23:00+05:30,25984.30078125,25988.150390625,25982.150390625,25987.349609375,0
2026-02-11 09:24:00+05:30,25980.69921875,25986.69921875,25978.44921875,25984.25,0
2026-02-11 09:25:00+05:30,25983.75,25988.099609375,25975.599609375,25980.849609375,0
2026-02-11 09:26:00+05:30,25982.150390625,25986.900390625,25980.599609375,25982.19921875,0
2026-02-11 09:27:00+05:30,25980.94921875,25984.5,25978.25,25982.150390625,0
2026-02-11 09:28:00+05:30,25981.30078125,25982.5,25977.650390625,25981.25,0
2026-02-11 09:29:00+05:30,25980.599609375,25984.400390625,25979.19921875,25981.44921875,0
2026-02-11 09:30:00+05:30,25977.19921875,25984.55078125,25974.30078125,25980.099609375,0
2026-02-11 09:31:00+05:30,25971.650390625,25977.0,25970.80078125,25975.900390625,0
2026-02-11 09:32:00+05:30,25966.849609375,25973.55078125,25961.80078125,25971.94921875,0
2026-02-11 09:33:00+05:30,25957.94921875,25967.099609375,25955.150390625,25965.75,0
2026-02-11 09:34:00+05:30,25955.349609375,25961.0,25954.75,25957.400390625,0
2026-02-11 09:35:00+05:30,25953.0,25960.75,25952.05078125,25955.150390625,0
2026-02-11 09:36:00+05:30,25950.349609375,25953.849609375,25945.55078125,25952.55078125,0
2026-02-11 09:37:00+05:30,25948.349609375,25954.0,25947.349609375,25950.80078125,0
2026-02-11 09:38:00+05:30,25941.599609375,25948.80078125,25933.349609375,25948.5,0
2026-02-11 09:39:00+05:30,25933.599609375,25942.150390625,25932.5,25941.75,0
2026-02-11 09:40:00+05:30,25924.0,25934.80078125,25923.849609375,25932.400390625,0
2026-02-11 09:41:00+05:30,25931.849609375,25933.55078125,25923.69921875,25924.44921875,0
2026-02-11 09:42:00+05:30,25931.5,25936.0,25926.400390625,25930.650390625,0
2026-02-11 09:43:00+05:30,25931.80078125,25934.25,25928.599609375,25932.599609375,0
2026-02-11 09:44:00+05:30,25937.849609375,25939.400390625,25930.849609375,25930.849609375,0
2026-02-11 09:45:00+05:30,25934.75,25938.94921875,25933.599609375,25937.80078125,0
2026-02-11 09:46:00+05:30,25939.900390625,25945.25,25934.80078125,25934.80078125,0
2026-02-11 09:47:00+05:30,25939.0,25942.599609375,25935.44921875,25939.599609375,0
2026-02-11 09:48:00+05:30,25935.44921875,25943.400390625,25935.099609375,25938.150390625,0
2026-02-11 09:49:00+05:30,25929.849609375,25937.69921875,25929.849609375,25935.94921875,0
2026-02-11 09:50:00+05:30,25927.900390625,25933.900390625,25925.75,25930.400390625,0
2026-02-11 09:51:00+05:30,25930.25,25931.19921875,25926.80078125,25928.0,0
2026-02-11 09:52:00+05:30,25933.19921875,25934.25,25927.5,25929.75,0
2026-02-11 09:53:00+05:30,25948.69921875,25948.849609375,25933.05078125,25933.69921875,0
2026-02-11 09:54:00+05:30,25950.099609375,25952.69921875,25946.69921875,25948.0,0
2026-02-11 09:55:00+05:30,25951.75,25954.400390625,25948.599609375,25949.05078125,0
2026-02-11 09:56:00+05:30,25951.44921875,25955.94921875,25949.75,25952.0,0
2026-02-11 09:57:00+05:30,25956.30078125,25956.30078125,25950.349609375,25951.400390625,0
